epoch,train_loss,val_f1
1,0.2662446016332287,0.6638830897703549
2,0.14563222316874533,0.683982683982684
3,0.09347166496526198,0.7164179104477612
4,0.07552951348688323,0.751219512195122
5,0.08141695649513796,0.6615776081424937
6,0.04074301416739408,0.6510638297872341
7,0.06146334334848675,0.5658747300215983
8,0.047033719961650296,0.6876513317191283
9,0.03355362503838947,0.7090464547677262
10,0.025030758931142386,0.7320954907161804
11,0.015936854742053683,0.7416879795396419
12,0.03048078315213861,0.7640449438202247
13,0.043884579371597954,0.7383720930232558
14,0.03936306862389777,0.7943661971830986
15,0.0326214990745869,0.7696629213483146
16,0.03327228597127653,0.7390180878552972
17,0.021404749454753555,0.5841784989858012
18,0.014325446101681126,0.5841784989858012
19,0.02965319744051335,0.7513227513227513
20,0.053561284685392646,0.7436619718309859
21,0.036155460412448395,0.7774798927613941
22,0.01802518710502251,0.7796610169491526
23,0.010771895579437333,0.726775956284153
24,0.032802651340102795,0.726775956284153
25,0.015671914870263728,0.7743732590529248
26,0.040262456589907986,0.7796610169491526
