epoch,train_loss
1,0.30188954158358955
2,0.173859733457399
3,0.11916038996860696
4,0.11274181432725487
5,0.09606183394986008
6,0.08837345827511917
7,0.0774314119500569
8,0.06249299055969412
9,0.060047295709110764
10,0.05151797607572081
11,0.04359498913985584
12,0.03340716921602846
13,0.04085303228601633
14,0.028178168900896444
15,0.042763322361889206
16,0.029646754600112835
17,0.0376047852720728
18,0.027189576401472227
19,0.02428728558051819
20,0.025025361027881
21,0.025123962195822257
22,0.02019187576947305
23,0.03037471795097384
24,0.027206394748046484
25,0.015343245385428306
26,0.012897017664252686
27,0.010085082457431468
28,0.02447672753488006
29,0.011313463654719443
30,0.01820976148002886
