epoch,train_loss
1,0.2656580688763448
2,0.18186309360597955
3,0.16463644202029526
4,0.17063268386298933
5,0.15011864222365312
6,0.1357439015739339
7,0.12969801395558095
8,0.13810272256006378
9,0.10648622416692108
10,0.12871834831007184
11,0.10997226617069297
12,0.10609813697583177
13,0.1053588771738963
14,0.08740300096120716
15,0.18212649347071713
16,0.13739563070895003
17,0.1002380553220345
18,0.09539627411604072
19,0.09278057152197129
20,0.09374600858617271
21,0.08468577305517198
22,0.09591474584120567
23,0.08004138604630463
24,0.07918360390764813
25,0.07362297180737196
26,0.06471380651834044
27,0.12780322841776887
28,0.07939367789970793
29,0.07816562603437176
30,0.07845421471805107
31,0.06809355822483988
32,0.07574940854539841
33,0.06625606315112188
34,0.05922302389625588
35,0.07741804202686957
36,0.06057352070420758
37,0.06392730793675634
38,0.05663275094901406
39,0.06181428358210633
40,0.059414699330884294
41,0.058806410864251264
42,0.07677215835750155
43,0.059024478796170336
44,0.058670793301113494
45,0.0581852811528959
46,0.05480826074179358
47,0.05370975633823886
48,0.0625155916359049
49,0.05570772245338564
50,0.04771244584801169
51,0.03867797805637271
52,0.03530880974915313
53,0.04428792784136117
54,0.04757894827112682
55,0.05174202204068962
