epoch,train_loss,val_f1
1,0.4045257041888386,0.8495842781557067
2,0.31718310302321767,0.8380809595202399
3,0.28722184079332885,0.8856088560885609
4,0.24420401038521283,0.872992700729927
5,0.22629501958661405,0.8427947598253275
6,0.21260318352265528,0.8703563305534496
7,0.20889592345905336,0.8263283108643933
8,0.19685941765402082,0.795751633986928
9,0.1783171576023262,0.8801169590643275
10,0.19869931240909885,0.8287724784988272
11,0.18044265173688445,0.8317757009345794
12,0.1484724934324547,0.8484375
13,0.1404233911031839,0.8439215686274509
14,0.20010771972136956,0.8335949764521193
15,0.1451892204880514,0.8112449799196787
