rank,feature,importance
188,t05_kp10_y,0.00131391
189,t43_kp09_y,0.00129193
190,t43_kp06_x,0.00128647
191,t40_kp10_y,0.00125294
192,t40_kp11_y,0.00124130
193,t44_kp07_y,0.00123133
194,t41_kp19_y,0.00122936
195,t38_kp11_y,0.00121986
196,t34_kp19_y,0.00121776
197,t36_kp09_y,0.00121229
198,t38_kp22_x,0.00120270
199,t36_kp17_y,0.00119306
200,t35_kp15_y,0.00119105
201,t42_kp05_y,0.00118983
202,t42_kp01_y,0.00118270
203,t34_kp22_y,0.00117796
204,t38_kp08_y,0.00117598
205,t41_kp24_y,0.00117316
206,t09_kp03_y,0.00117158
207,t41_kp17_x,0.00116937
208,t36_kp12_y,0.00116402
209,t35_kp22_y,0.00115589
210,t44_kp03_y,0.00115188
211,t39_kp03_y,0.00114706
212,t44_kp00_y,0.00114076
213,t34_kp21_y,0.00113831
214,t11_kp24_y,0.00113465
215,t40_kp12_y,0.00112347
216,t43_kp08_y,0.00112245
217,t35_kp09_y,0.00111732
218,t34_kp16_y,0.00111306
219,t33_kp19_y,0.00110880
220,t33_kp15_y,0.00110864
221,t33_kp19_x,0.00109835
222,t43_kp00_y,0.00109632
223,t33_kp13_y,0.00109451
224,t37_kp20_y,0.00109410
225,t35_kp17_y,0.00108806
226,t13_kp08_y,0.00108449
227,t44_kp09_y,0.00106978
228,t33_kp17_y,0.00106865
229,t41_kp05_y,0.00106832
230,t40_kp06_y,0.00106805
231,t38_kp12_y,0.00106661
232,t41_kp00_y,0.00105933
233,t44_kp10_y,0.00105341
234,t32_kp17_y,0.00105212
235,t31_kp21_y,0.00105183
236,t33_kp20_y,0.00104101
237,t09_kp24_y,0.00102810
238,t32_kp19_y,0.00101866
239,t04_kp09_y,0.00101859
240,t05_kp09_y,0.00100689
241,t15_kp14_y,0.00100400
242,t05_kp12_y,0.00100365
243,t35_kp13_y,0.00100001
244,t03_kp07_y,0.00099519
245,t10_kp07_y,0.00099458
246,t04_kp07_y,0.00098844
247,t11_kp12_y,0.00098558
248,t31_kp19_y,0.00098294
249,t03_kp00_y,0.00097680
250,t02_kp09_y,0.00097460
251,t35_kp10_y,0.00097037
252,t32_kp13_y,0.00096867
253,t38_kp00_y,0.00096407
254,t31_kp17_y,0.00096060
255,t26_kp25_y,0.00095679
256,t06_kp02_y,0.00095404
257,t44_kp11_x,0.00095389
258,t33_kp24_y,0.00095063
259,t04_kp02_y,0.00094807
260,t08_kp07_y,0.00093384
261,t07_kp08_y,0.00093373
262,t03_kp22_y,0.00093274
263,t41_kp07_x,0.00093221
264,t43_kp21_x,0.00092594
265,t06_kp22_y,0.00092019
266,t44_kp10_x,0.00091399
267,t07_kp03_y,0.00091298
268,t01_kp04_y,0.00090991
269,t08_kp18_y,0.00090771
270,t00_kp11_y,0.00090633
271,t43_kp04_x,0.00089181
272,t10_kp12_y,0.00089046
273,t03_kp11_y,0.00088939
274,t11_kp05_y,0.00088698
275,t03_kp09_y,0.00088581
276,t09_kp00_y,0.00088244
277,t05_kp01_y,0.00088116
278,t06_kp16_y,0.00086945
279,t10_kp04_y,0.00086927
280,t02_kp00_y,0.00086496
281,t00_kp26_x,0.00085848
282,t39_kp05_y,0.00084247
283,t09_kp06_y,0.00084061
284,t05_kp11_y,0.00083699
285,t27_kp20_y,0.00083615
286,t04_kp01_y,0.00082499
287,t42_kp03_x,0.00081133
288,t40_kp12_x,0.00075961
289,t05_kp32_x,0.00074924
290,t40_kp07_x,0.00074752
291,t41_kp10_x,0.00071222
292,t35_kp13_x,0.00070973
293,t42_kp09_x,0.00069084
294,t11_kp01_x,0.00068872
295,t44_kp00_x,0.00067771
296,t36_kp21_x,0.00066768
297,t34_kp22_x,0.00066296
298,t10_kp28_x,0.00066194
299,t32_kp17_x,0.00065861
300,t44_kp09_x,0.00064522
301,t42_kp04_x,0.00064236
302,t22_kp32_x,0.00064025
303,t44_kp03_x,0.00063723
304,t43_kp22_x,0.00062447
305,t41_kp00_x,0.00062071
306,t39_kp15_x,0.00061449
307,t42_kp21_y,0.00061432
308,t06_kp26_x,0.00061325
309,t33_kp13_x,0.00060517
310,t01_kp30_x,0.00059944
311,t43_kp10_x,0.00059537
312,t42_kp11_x,0.00059398
313,t01_kp01_y,0.00058119
314,t25_kp32_x,0.00057891
315,t30_kp28_x,0.00057412
316,t41_kp04_x,0.00057315
317,t41_kp11_x,0.00057249
318,t08_kp05_x,0.00057200
319,t44_kp14_y,0.00056115
320,t00_kp09_x,0.00056068
321,t41_kp05_x,0.00056045
322,t43_kp11_x,0.00055546
323,t30_kp21_x,0.00055052
324,t38_kp19_x,0.00054776
325,t05_kp05_y,0.00054622
326,t03_kp10_y,0.00054354
327,t02_kp08_y,0.00054268
328,t02_kp11_y,0.00053728
329,t14_kp05_y,0.00053501
330,t04_kp03_y,0.00053497
331,t03_kp01_y,0.00053488
332,t43_kp05_x,0.00052992
333,t04_kp11_y,0.00052885
334,t14_kp12_y,0.00052712
335,t11_kp11_y,0.00052579
336,t15_kp23_y,0.00052355
337,t09_kp18_y,0.00052138
338,t05_kp00_y,0.00051699
339,t43_kp09_x,0.00051693
340,t02_kp06_y,0.00051408
341,t17_kp30_x,0.00051271
342,t06_kp22_x,0.00051269
343,t38_kp12_x,0.00051093
344,t14_kp30_x,0.00050871
345,t12_kp01_y,0.00050819
346,t12_kp04_y,0.00050710
347,t06_kp19_x,0.00050703
348,t37_kp06_x,0.00050507
349,t08_kp12_y,0.00050143
350,t10_kp08_y,0.00050065
351,t09_kp08_y,0.00049997
352,t34_kp16_x,0.00049955
353,t43_kp15_x,0.00049874
354,t01_kp08_x,0.00049811
355,t05_kp24_x,0.00049653
356,t00_kp32_x,0.00049444
357,t11_kp08_y,0.00049136
358,t08_kp04_y,0.00049090
359,t44_kp06_x,0.00049024
360,t12_kp10_y,0.00048788
361,t07_kp28_x,0.00048533
362,t04_kp05_y,0.00048478
363,t10_kp05_y,0.00048444
364,t35_kp19_x,0.00048385
365,t41_kp03_x,0.00048135
366,t11_kp02_y,0.00047821
367,t10_kp00_y,0.00047675
368,t39_kp07_x,0.00047562
369,t10_kp03_y,0.00047533
370,t12_kp07_y,0.00047375
371,t03_kp03_y,0.00047362
372,t09_kp05_y,0.00047350
373,t44_kp19_x,0.00047290
374,t37_kp21_x,0.00047172
375,t10_kp24_y,0.00047130
376,t16_kp24_y,0.00047088
377,t39_kp01_x,0.00046941
378,t13_kp25_x,0.00046736
379,t39_kp13_x,0.00046703
380,t07_kp05_y,0.00046616
381,t07_kp11_y,0.00046587
382,t11_kp04_y,0.00046200
383,t43_kp12_x,0.00046120
384,t12_kp03_y,0.00046013
385,t13_kp12_y,0.00045881
386,t09_kp23_x,0.00045735
387,t13_kp01_y,0.00045724
388,t08_kp05_y,0.00045513
389,t05_kp23_x,0.00045305
390,t12_kp09_y,0.00045216
391,t09_kp11_y,0.00044993
392,t01_kp22_y,0.00044838
393,t12_kp06_y,0.00044751
394,t12_kp12_y,0.00044694
395,t07_kp07_y,0.00044610
396,t02_kp19_y,0.00044557
397,t08_kp03_y,0.00044549
398,t32_kp16_x,0.00044322
399,t08_kp01_y,0.00044216
400,t41_kp23_x,0.00043923
401,t38_kp15_x,0.00043559
402,t04_kp09_x,0.00043398
403,t09_kp01_y,0.00043248
404,t03_kp17_x,0.00042962
405,t01_kp18_x,0.00042778
406,t04_kp20_y,0.00042545
407,t06_kp11_y,0.00042465
408,t19_kp30_x,0.00042360
409,t40_kp08_x,0.00042047
410,t09_kp09_y,0.00041971
411,t04_kp16_y,0.00041941
412,t16_kp32_x,0.00041926
413,t07_kp01_y,0.00041892
414,t10_kp10_y,0.00041827
415,t07_kp20_y,0.00041479
416,t38_kp11_x,0.00040869
417,t13_kp05_y,0.00040833
418,t05_kp02_y,0.00040822
419,t11_kp03_y,0.00040138
420,t40_kp01_x,0.00039884
421,t36_kp11_x,0.00039831
422,t31_kp31_x,0.00039758
423,t06_kp09_y,0.00039685
424,t29_kp12_x,0.00039648
425,t27_kp28_x,0.00039562
426,t44_kp13_x,0.00039426
427,t07_kp10_y,0.00039265
428,t07_kp08_x,0.00038755
429,t42_kp06_x,0.00038670
430,t09_kp07_y,0.00038307
431,t37_kp08_x,0.00037936
432,t03_kp15_y,0.00037917
433,t35_kp17_x,0.00037810
434,t08_kp11_y,0.00037620
435,t22_kp07_x,0.00037399
436,t10_kp14_y,0.00037341
437,t12_kp20_x,0.00037044
438,t40_kp16_x,0.00036950
439,t41_kp22_x,0.00036597
440,t37_kp00_x,0.00036594
441,t00_kp24_x,0.00036584
442,t15_kp10_y,0.00036539
443,t44_kp15_x,0.00036409
444,t31_kp25_x,0.00035887
445,t27_kp04_x,0.00035722
446,t09_kp28_x,0.00035610
447,t00_kp12_x,0.00035574
448,t24_kp30_x,0.00035542
449,t23_kp20_x,0.00034796
450,t08_kp22_x,0.00034547
451,t11_kp23_x,0.00034467
452,t09_kp20_y,0.00034371
453,t00_kp29_x,0.00033940
454,t42_kp00_x,0.00033861
455,t05_kp16_x,0.00033705
456,t02_kp24_x,0.00033491
457,t05_kp00_x,0.00033337
458,t01_kp32_x,0.00033264
459,t02_kp16_x,0.00033045
460,t01_kp09_x,0.00032813
461,t05_kp08_x,0.00032769
462,t00_kp19_x,0.00032098
463,t03_kp25_x,0.00032064
464,t13_kp26_x,0.00031893
465,t07_kp13_x,0.00031701
466,t18_kp27_x,0.00031688
467,t40_kp00_x,0.00031423
468,t01_kp07_x,0.00031411
469,t33_kp21_x,0.00031344
470,t02_kp23_x,0.00031332
471,t04_kp02_x,0.00031074
472,t43_kp13_x,0.00030905
473,t28_kp03_x,0.00030662
474,t43_kp20_x,0.00030568
475,t04_kp18_x,0.00030546
476,t27_kp15_x,0.00030304
477,t13_kp22_x,0.00030232
478,t31_kp28_x,0.00029936
479,t09_kp12_x,0.00029644
480,t03_kp11_x,0.00029602
481,t34_kp19_x,0.00029550
