epoch,train_loss,val_threshold,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_tn,val_fp,val_fn,val_tp,learning_rate
1,0.09420652463985181,0.9546141624450684,0.9974226804123711,1.0,0.979381443298969,0.9895833333333334,0.9998215993805324,1358,0,4,190,0.001
2,0.018048355861738627,0.3114730417728424,0.9967783505154639,0.9846153846153847,0.9896907216494846,0.987146529562982,0.9999164933270578,1355,3,2,192,0.001
3,0.035163378043779274,0.9973848462104797,0.9942010309278351,1.0,0.9536082474226805,0.9762532981530343,0.9997077266447019,1358,0,9,185,0.001
4,0.01324785800854617,0.7764701843261719,0.9929123711340206,0.9893048128342246,0.9536082474226805,0.9711286089238845,0.9993091720692954,1356,2,9,185,0.001
5,0.015297492583842083,0.9434213042259216,0.9916237113402062,0.9891891891891892,0.9432989690721649,0.9656992084432717,0.99947618541518,1356,2,11,183,0.001
6,0.0283667721970278,0.9865921139717102,0.9974226804123711,1.0,0.979381443298969,0.9895833333333334,0.9998861272641696,1358,0,4,190,0.0005
7,0.005337831627537655,0.6121252179145813,0.9935567010309279,0.9742268041237113,0.9742268041237113,0.9742268041237113,0.9991573417548547,1353,5,5,189,0.0005
8,0.011923736688971141,0.9900988936424255,0.9954896907216495,0.9895287958115183,0.9742268041237113,0.9818181818181818,0.9994496151101528,1356,2,5,189,0.0005
9,0.008591660750874813,0.9912363290786743,0.9954896907216495,0.9895287958115183,0.9742268041237113,0.9818181818181818,0.9996545860346476,1356,2,5,189,0.0005
10,0.002458016505142787,0.9969603419303894,0.9961340206185567,1.0,0.9690721649484536,0.9842931937172775,0.9994837769309021,1358,0,6,188,0.0005
11,0.00691880248221507,0.9634116291999817,0.9890463917525774,1.0,0.9123711340206185,0.954177897574124,0.9986600974750619,1358,0,17,177,0.00025
12,0.01030057323314263,0.9944809675216675,0.9961340206185567,0.9895833333333334,0.979381443298969,0.9844559585492227,0.9992446441856581,1356,2,4,190,0.00025
13,0.0037783316131645315,0.9956310987472534,0.9967783505154639,1.0,0.9742268041237113,0.9869451697127938,0.9994154532894038,1358,0,5,189,0.00025
14,0.014128968623035629,0.9973090887069702,0.9967783505154639,1.0,0.9742268041237113,0.9869451697127938,0.9994610023837359,1358,0,5,189,0.00025
15,0.0010324243964444746,0.9945204854011536,0.9954896907216495,1.0,0.9639175257731959,0.9816272965879265,0.9992863975221292,1358,0,7,187,0.00025
16,0.00147813464111333,0.998039186000824,0.9961340206185567,1.0,0.9690721649484536,0.9842931937172775,0.9993167635850174,1358,0,6,188,0.000125
17,0.000979139623592955,0.995482325553894,0.9967783505154639,1.0,0.9742268041237113,0.9869451697127938,0.9993091720692954,1358,0,5,189,0.000125
18,0.0004887916536775296,0.9965534210205078,0.9967783505154639,1.0,0.9742268041237113,0.9869451697127938,0.9993623126793495,1358,0,5,189,0.000125
