epoch,train_loss
1,0.2988111826046991
2,0.14448196867072574
3,0.11863450193924763
4,0.0866301525386541
5,0.0772145844219383
6,0.06203684175807091
7,0.04951182532060094
8,0.04949861904765072
9,0.04798284300372936
10,0.0478114678203796
11,0.034529882785231725
12,0.033219822329443725
13,0.04376296064909371
14,0.0402440829041331
15,0.027112295447695185
16,0.038078258912016084
17,0.03036807275795515
18,0.02791815254218354
19,0.03539933189714418
20,0.024810427710630436
21,0.030355280604324082
22,0.0274647780450794
23,0.02232185051937082
24,0.019665576630371693
25,0.03051896695934815
26,0.023366963349880483
27,0.01819943602435733
28,0.02348270919903482
29,0.021853747663093438
30,0.02379491077306541
