fold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
1,1.0,1.0,1.0,1.0,1.0,8,0,0,6
2,1.0,1.0,1.0,1.0,1.0,8,0,0,6
3,0.9285714285714286,0.8571428571428571,1.0,0.9230769230769231,0.9166666666666666,7,1,0,6
4,1.0,1.0,1.0,1.0,1.0,8,0,0,6
5,0.9285714285714286,1.0,0.8333333333333334,0.9090909090909091,1.0,8,0,1,5
