epoch,train_loss,val_f1
1,0.5201353580910847,0.7331460674157303
2,0.4467673101779956,0.6517719568567026
3,0.3932015032907601,0.7360912981455064
4,0.35747514751720716,0.6318289786223278
5,0.3267770736188267,0.659270998415214
6,0.2898713700275594,0.7175954915466499
7,0.30518850179618745,0.5240641711229946
8,0.24118463895766976,0.4326530612244898
9,0.2243639969304179,0.6012601260126013
10,0.22242457750742972,0.7921195652173914
11,0.21625265683809863,0.7552258934592043
12,0.21157366545920328,0.5825932504440497
13,0.1653975873414726,0.7910447761194029
14,0.3609468897327225,0.6337792642140468
15,0.1970074029653754,0.6425196850393701
16,0.1658558692554119,0.6319218241042345
17,0.19330368438021706,0.6608544027898866
18,0.1677030190590207,0.6417657045840407
19,0.15694887224843848,0.6040145985401459
20,0.2003602646960732,0.6773700305810397
21,0.1317703932133304,0.706777316735823
22,0.1283340865147366,0.6135310472659871
