epoch,train_loss
1,0.7714528853149083
2,0.289723962459261
3,0.25948822705042845
4,0.23798074646492226
5,0.2353894908648695
6,0.23585474146583865
7,0.21858129112017638
8,0.18705643153604054
9,0.1246533497220519
10,0.09571843090429472
11,0.12113871052861214
12,0.10963969229790517
13,0.10233574588863836
14,0.1478120370450392
15,0.12301533759673895
16,0.06625656886941436
17,0.1321267636675883
18,0.05731026664634661
19,0.060056738081695024
20,0.08099104768752707
21,0.046445246204475446
22,0.07231880578002489
23,0.028505676442143545
24,0.0495912391326331
25,0.07431701032412534
26,0.0570347907743013
27,0.021931711605863075
28,0.040804170890350565
29,0.06837254650675492
30,0.03395836418454207
31,0.03574871323529007
32,0.024898935992249176
33,0.021223932232793872
34,0.01638496446428616
35,0.02180573718240108
36,0.03597878703862332
37,0.008662196339210334
38,0.06275688439090817
39,0.03521271723973958
