fold,train_videos,test_videos,train_windows,test_windows,accuracy,precision,recall,f1,roc_auc
1,56,14,7131,1832,0.9514192139737991,0.9454545454545454,0.5561497326203209,0.7003367003367004,0.9903483250166605
2,59,11,7246,1717,0.9801980198019802,0.9642857142857143,0.8526315789473684,0.9050279329608939,0.9928514803708682
3,53,17,7146,1817,0.914694551458448,0.536723163841808,0.5654761904761905,0.5507246376811594,0.9238012215195356
4,55,15,7083,1880,0.9398936170212766,0.9824561403508771,0.3333333333333333,0.49777777777777776,0.9663631369603916
5,57,13,7246,1717,0.9598136284216657,0.954954954954955,0.6235294117647059,0.7544483985765125,0.9716586181984105
