epoch,train_loss
1,0.11018849943398631
2,0.04424913287636757
3,0.035752468386427996
4,0.03477603310394833
5,0.020837827831980706
6,0.018944653909784392
7,0.024808577420377072
8,0.018053685476063817
9,0.019935154572262297
10,0.01805141207738156
11,0.014471336213318864
12,0.017343498467068588
13,0.008408469670939667
14,0.008805701762737175
15,0.017374964076874937
16,0.01181308940847105
17,0.010251403416597376
18,0.00998340262451945
19,0.0121934470171904
20,0.007067518494165727
21,0.011769567778303878
22,0.010474482607865607
23,0.008511154659182856
24,0.008667019103443505
25,0.009315653089158462
26,0.008139592040996442
27,0.004120436921214475
28,0.023653370822687845
29,0.012858745600559425
30,0.012252977627408004
