accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,fold,train_videos,test_videos,train_windows,test_windows,best_epoch,val_f1
0.9373961218836565,0.5668016194331984,0.958904109589041,0.712468193384224,0.9775157505346511,1552,107,6,140,1,56,14,7158,1805,4,0.6973684210526315
0.9630872483221476,0.7526881720430108,0.875,0.8092485549132948,0.9754683660933661,1582,46,20,140,2,56,14,7175,1788,2,0.654320987654321
0.9314763231197771,0.6371308016877637,0.8031914893617021,0.7105882352941176,0.8825782149902686,1521,86,37,151,3,56,14,7168,1795,13,0.8493150684931506
0.9059684684684685,0.521978021978022,0.5428571428571428,0.5322128851540616,0.7373355938252878,1514,87,80,95,4,56,14,7187,1776,12,0.8333333333333334
0.9255141745414119,0.6666666666666666,0.7476635514018691,0.7048458149779736,0.8652878917420914,1505,80,54,160,5,56,14,7164,1799,9,0.44805194805194803
