epoch,train_loss
1,0.27071933688655975
2,0.18427150007885937
3,0.14289830463088077
4,0.1272811365456204
5,0.1054586898979599
6,0.0980920019248686
7,0.0989534103508835
8,0.06496968299318967
9,0.0805113231462817
10,0.07146501220073055
11,0.05805153060158477
12,0.07256072781050021
13,0.05526517094393766
14,0.04650225653737616
15,0.06215835098313693
16,0.04861731753327987
17,0.04780872721488876
18,0.046647680368206525
19,0.04942186078942298
20,0.04819677360161556
21,0.03401422728477425
22,0.03647372303618743
23,0.03237108106961341
24,0.03900561327517012
25,0.033400779176597464
26,0.03775194908138286
27,0.034868998513106375
28,0.03211422908664544
29,0.03884695222154573
30,0.03438843537721558
31,0.034980013703360506
32,0.02978941134201966
33,0.03463332167125162
34,0.04261767602268329
35,0.029470810602676402
