fold,best_epoch,val_f1,train_seconds,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
1,30,0.8599033816425121,102.46517297788523,0.9012827663134412,0.742393509127789,0.8798076923076923,0.8052805280528053,0.9627953745600806,1250,127,50,366
2,54,0.8653344917463076,156.32817795313895,0.9421257651641625,0.8343949044585988,0.9379474940334129,0.8831460674157303,0.9901469044757198,1300,78,26,393
3,17,0.6375838926174496,71.40434232004918,0.8061674008810573,0.5638629283489096,0.8341013824884793,0.6728624535315985,0.8898935957371604,1102,280,72,362
4,30,0.9049429657794676,101.99552053888328,0.9645429362880886,0.9634464751958225,0.8806682577565632,0.9201995012468828,0.9785564475301944,1372,14,50,369
5,8,0.9174311926605505,49.77812201692723,0.8900112233445566,0.7741935483870968,0.7482014388489209,0.7609756097560976,0.9521789162076931,1274,91,105,312
