rank,feature,importance
188,t24_kp07_x,0.00120170
189,t20_kp03_y,0.00120098
190,t29_kp03_y,0.00119752
191,t24_kp22_y,0.00118613
192,t11_kp22_x,0.00118003
193,t21_kp16_y,0.00117843
194,t16_kp09_y,0.00117717
195,t17_kp18_y,0.00117626
196,t24_kp09_x,0.00117447
197,t24_kp16_y,0.00117247
198,t20_kp02_y,0.00117047
199,t23_kp08_y,0.00116799
200,t23_kp16_y,0.00116604
201,t17_kp10_y,0.00116430
202,t28_kp12_x,0.00116365
203,t14_kp22_x,0.00113927
204,t19_kp22_y,0.00113866
205,t20_kp20_x,0.00113142
206,t23_kp22_y,0.00113102
207,t03_kp22_x,0.00112925
208,t17_kp02_y,0.00112715
209,t13_kp16_y,0.00112114
210,t15_kp22_y,0.00111989
211,t06_kp27_x,0.00111978
212,t23_kp13_y,0.00111229
213,t20_kp15_y,0.00109221
214,t26_kp12_x,0.00109178
215,t26_kp03_x,0.00108470
216,t21_kp16_x,0.00106261
217,t06_kp31_x,0.00104764
218,t21_kp15_y,0.00104679
219,t19_kp22_x,0.00104648
220,t28_kp05_x,0.00103769
221,t11_kp16_x,0.00103106
222,t18_kp22_x,0.00102584
223,t02_kp22_x,0.00101727
224,t26_kp24_y,0.00101473
225,t22_kp15_y,0.00101084
226,t27_kp13_y,0.00100624
227,t05_kp22_x,0.00099029
228,t25_kp13_y,0.00098500
229,t16_kp20_x,0.00097869
230,t20_kp22_x,0.00097556
231,t19_kp10_x,0.00096307
232,t23_kp08_x,0.00096294
233,t12_kp31_x,0.00095240
234,t21_kp19_y,0.00094822
235,t27_kp08_x,0.00094237
236,t24_kp22_x,0.00094194
237,t24_kp13_y,0.00092270
238,t07_kp27_x,0.00092157
239,t00_kp29_x,0.00091268
240,t28_kp24_y,0.00091126
241,t00_kp18_x,0.00090299
242,t22_kp13_y,0.00088326
243,t10_kp29_x,0.00088101
244,t01_kp22_x,0.00088020
245,t04_kp27_x,0.00087694
246,t25_kp15_y,0.00087455
247,t17_kp13_y,0.00087073
248,t19_kp19_y,0.00086559
249,t18_kp15_y,0.00086265
250,t09_kp16_x,0.00086102
251,t25_kp00_x,0.00085515
252,t16_kp21_y,0.00085499
253,t27_kp00_x,0.00085069
254,t23_kp07_x,0.00084400
255,t13_kp31_x,0.00084368
256,t27_kp04_x,0.00080526
257,t25_kp12_x,0.00080372
258,t29_kp04_x,0.00080367
259,t08_kp27_x,0.00080338
260,t00_kp23_x,0.00080014
261,t24_kp21_y,0.00079250
262,t21_kp21_y,0.00078906
263,t05_kp27_x,0.00078649
264,t24_kp19_y,0.00078446
265,t01_kp20_x,0.00078106
266,t27_kp15_y,0.00078054
267,t24_kp00_x,0.00077513
268,t03_kp29_x,0.00077424
269,t25_kp08_x,0.00077056
270,t10_kp20_x,0.00077043
271,t07_kp22_x,0.00076758
272,t29_kp02_x,0.00076159
273,t24_kp15_x,0.00076041
274,t20_kp11_x,0.00075911
275,t23_kp00_x,0.00075706
276,t03_kp20_x,0.00075569
277,t04_kp29_x,0.00075267
278,t19_kp15_y,0.00074953
279,t25_kp10_x,0.00074872
280,t28_kp02_x,0.00074856
281,t21_kp13_y,0.00074460
282,t18_kp21_y,0.00074451
283,t00_kp20_x,0.00074396
284,t24_kp12_x,0.00074035
285,t06_kp22_x,0.00073981
286,t09_kp27_x,0.00073306
287,t22_kp12_x,0.00073054
288,t28_kp19_y,0.00072927
289,t01_kp27_x,0.00072723
290,t05_kp29_x,0.00071983
291,t28_kp17_y,0.00071746
292,t08_kp22_x,0.00071431
293,t27_kp20_x,0.00071219
294,t21_kp08_x,0.00070960
295,t24_kp02_x,0.00070527
296,t20_kp00_x,0.00070350
297,t20_kp10_x,0.00070304
298,t25_kp19_y,0.00070063
299,t23_kp24_y,0.00069682
300,t01_kp18_x,0.00069596
301,t07_kp29_x,0.00069477
302,t28_kp04_x,0.00068848
303,t25_kp16_x,0.00068529
304,t26_kp22_x,0.00068499
305,t21_kp00_x,0.00068106
306,t23_kp11_x,0.00067843
307,t19_kp21_y,0.00067767
308,t17_kp15_y,0.00067740
309,t01_kp24_x,0.00067417
310,t06_kp23_x,0.00067262
311,t26_kp17_y,0.00067218
312,t03_kp23_x,0.00067142
313,t29_kp13_y,0.00067038
314,t17_kp22_x,0.00066977
315,t10_kp22_x,0.00066135
316,t25_kp21_y,0.00065884
317,t20_kp17_y,0.00065816
318,t05_kp24_x,0.00064391
319,t27_kp17_y,0.00064023
320,t19_kp20_x,0.00063957
321,t01_kp23_x,0.00063872
322,t05_kp18_x,0.00063637
323,t23_kp01_x,0.00063470
324,t23_kp20_x,0.00063001
325,t08_kp29_x,0.00062413
326,t21_kp07_x,0.00061970
327,t24_kp15_y,0.00061778
328,t29_kp05_x,0.00060631
329,t21_kp24_y,0.00059374
330,t28_kp21_y,0.00059351
331,t29_kp15_y,0.00059191
332,t23_kp15_y,0.00058487
333,t18_kp17_y,0.00056160
334,t00_kp32_x,0.00055866
335,t22_kp24_y,0.00055660
336,t02_kp27_x,0.00055124
337,t12_kp16_x,0.00055080
338,t29_kp19_y,0.00054796
339,t02_kp32_x,0.00054312
340,t16_kp19_y,0.00054116
341,t24_kp18_x,0.00053400
342,t06_kp20_x,0.00053204
343,t15_kp19_y,0.00052914
344,t29_kp24_y,0.00052507
345,t21_kp17_y,0.00052094
346,t22_kp23_y,0.00051612
347,t17_kp11_x,0.00051462
348,t14_kp23_x,0.00051172
349,t26_kp08_x,0.00050665
350,t18_kp19_y,0.00050323
351,t02_kp16_x,0.00049880
352,t26_kp15_y,0.00049822
353,t24_kp17_y,0.00049517
354,t15_kp13_y,0.00049305
355,t05_kp16_x,0.00049170
356,t24_kp08_x,0.00048487
357,t12_kp29_x,0.00047808
358,t19_kp17_y,0.00047446
359,t02_kp29_x,0.00047150
360,t01_kp09_x,0.00047052
361,t26_kp19_y,0.00046873
362,t14_kp31_x,0.00046655
363,t28_kp16_x,0.00046494
364,t27_kp21_y,0.00046227
365,t20_kp09_x,0.00046114
366,t29_kp06_x,0.00045581
367,t21_kp11_x,0.00045546
368,t03_kp27_x,0.00045383
369,t22_kp19_y,0.00045154
370,t18_kp20_x,0.00045035
371,t08_kp23_x,0.00044955
372,t12_kp18_x,0.00044669
373,t20_kp18_x,0.00044490
374,t00_kp16_x,0.00044480
375,t04_kp24_x,0.00044158
376,t25_kp03_x,0.00044094
377,t20_kp21_y,0.00044058
378,t27_kp01_x,0.00043915
379,t03_kp02_x,0.00043829
380,t20_kp19_y,0.00043708
381,t04_kp20_x,0.00043475
382,t23_kp19_x,0.00043373
383,t19_kp24_y,0.00043190
384,t19_kp24_x,0.00042865
385,t26_kp21_y,0.00042809
386,t02_kp09_x,0.00042804
387,t18_kp13_y,0.00042695
388,t23_kp06_x,0.00042537
389,t09_kp20_x,0.00042519
390,t07_kp23_x,0.00042473
391,t09_kp18_x,0.00042397
392,t06_kp29_x,0.00042251
393,t19_kp11_x,0.00041805
394,t18_kp15_x,0.00041488
395,t22_kp04_x,0.00041363
396,t17_kp24_x,0.00041304
397,t08_kp24_x,0.00041207
398,t19_kp00_x,0.00041014
399,t17_kp21_y,0.00041001
400,t19_kp23_x,0.00040794
401,t11_kp24_x,0.00040792
402,t16_kp23_x,0.00040719
403,t15_kp23_x,0.00040481
404,t29_kp20_x,0.00040312
405,t21_kp12_x,0.00040280
406,t17_kp19_y,0.00040166
407,t25_kp17_y,0.00040153
408,t29_kp21_y,0.00040152
409,t25_kp19_x,0.00040007
410,t01_kp16_x,0.00039896
411,t21_kp01_x,0.00039860
412,t02_kp02_x,0.00039844
413,t15_kp15_y,0.00039824
414,t17_kp23_x,0.00039426
415,t19_kp07_x,0.00039396
416,t12_kp22_x,0.00039335
417,t06_kp16_x,0.00039310
418,t20_kp23_x,0.00039188
419,t29_kp21_x,0.00039154
420,t21_kp05_x,0.00038514
421,t26_kp01_x,0.00038473
422,t17_kp17_y,0.00038200
423,t22_kp21_x,0.00038144
424,t26_kp16_x,0.00038060
425,t27_kp21_x,0.00037810
426,t26_kp18_x,0.00037763
427,t08_kp16_x,0.00037663
428,t27_kp02_x,0.00037331
429,t26_kp05_x,0.00037081
430,t28_kp03_x,0.00036870
431,t03_kp24_x,0.00036712
432,t18_kp12_x,0.00036700
433,t18_kp23_x,0.00036507
434,t16_kp18_x,0.00036501
435,t19_kp13_y,0.00036454
436,t21_kp04_x,0.00036440
437,t19_kp06_x,0.00036436
438,t18_kp09_x,0.00036345
