epoch,train_loss
1,0.4706549571203479
2,0.3485665040566106
3,0.3144853082758227
4,0.30322033893088024
5,0.2712052136616524
6,0.24617673564414053
7,0.22868803812598976
8,0.22815127897029844
9,0.1857325703616773
10,0.18391376101315582
11,0.18205829448486185
12,0.16458969168359613
13,0.1551333266328576
14,0.13970191495537498
15,0.13788019783326189
16,0.14037502169695265
17,0.11977697869012602
18,0.11987292593101273
19,0.11053315009477341
20,0.12801518247598165
21,0.11070111455073929
22,0.10304119120084627
23,0.09992362532174769
24,0.09911488047757187
25,0.08419123272305801
26,0.0800273955266974
27,0.06422223239619923
28,0.09173662786251466
29,0.08410090748934494
30,0.07384489374524837
31,0.061816939853794405
32,0.06404817218549512
33,0.06405710347066819
34,0.06052298206278404
35,0.07810302318995704
36,0.04673287814479006
37,0.047870746074986474
38,0.05641284079404733
39,0.06283857373874945
40,0.05723062269685929
41,0.054240479593960514
42,0.051256541015253024
