epoch,train_loss,val_f1
1,0.32804093660810324,0.5454545454545454
2,0.05378787926857984,0.5454545454545454
3,0.02037346867632262,0.6666666666666666
4,0.04271542163023466,0.6666666666666666
5,0.027567256713592555,0.6
6,0.029782361681042594,0.75
7,0.08152347287941206,0.75
8,0.05515906509436384,0.6
9,0.04791947921054273,0.75
10,0.029714651643799595,0.75
11,0.08473300932659002,0.75
12,0.031645256035690066,0.46153846153846156
13,0.02180902067353784,0.5714285714285714
14,0.013291861848681693,0.5714285714285714
15,0.04240882512229153,0.75
16,0.035253730755818044,0.6666666666666666
17,0.044175850362310635,0.75
18,0.01721542166646193,0.75
19,0.39908443847700625,0.75
20,0.05942145404936392,0.4
21,0.10791391379471067,0.5714285714285714
22,0.002303578853282983,0.5714285714285714
23,0.4731006980582606,0.5714285714285714
24,0.026381527065944894,0.3
25,0.09338985780391053,0.5714285714285714
26,0.019290432146429143,0.5714285714285714
27,0.004871935616070523,0.5714285714285714
28,0.011520118014209114,0.5714285714285714
29,0.04695787171455972,0.75
30,0.018280547029704233,0.75
