epoch,train_loss
1,0.08941755426759779
2,0.03389468128681466
3,0.033619384852634944
4,0.025220745032803027
5,0.022924231119251008
6,0.020696555851428447
7,0.017916826241424967
8,0.01695359322543836
9,0.018851708618456885
10,0.018196205952469593
11,0.016202732445902184
12,0.012733196636107164
13,0.0062005504038403995
14,0.021957864214833107
15,0.012446400341521795
16,0.011578912729724175
17,0.010068406522787307
18,0.008924193393339965
19,0.010648902763386668
20,0.00905563813309946
21,0.008446115938254454
22,0.012746083794988603
23,0.009298972358898082
24,0.008590943085438096
25,0.011415592674859
26,0.006540317028675976
27,0.00630041594629455
28,0.006922464297985289
29,0.009291613594132834
30,0.007026628307218736
