epoch,train_loss,val_f1
1,0.23833566128387554,0.5158150851581509
2,0.10771476362939912,0.664576802507837
3,0.07461441063540442,0.6794871794871795
4,0.05477830268850064,0.5196078431372549
5,0.03797724476789336,0.6883116883116883
6,0.05500630988440668,0.5435897435897435
7,0.030899455756982525,0.668769716088328
8,0.03823078238674206,0.6217008797653959
9,0.03790111824727829,0.7765567765567766
10,0.0103802252528415,0.7335640138408305
11,0.038183552448884966,0.7881040892193308
12,0.015445142918620265,0.7653429602888087
13,0.013154261953040739,0.7881040892193308
14,0.05216578623964067,0.668769716088328
15,0.016941650852026403,0.7066666666666667
16,0.01885635095889489,0.8
17,0.019933275820961764,0.8060836501901141
18,0.009249525392590722,0.7210884353741497
19,0.006916222037472258,0.7765567765567766
20,0.007199616957760313,0.7210884353741497
21,0.01335863486397018,0.6708860759493671
22,0.03330324260455996,0.513317191283293
23,0.020567533389792673,0.5096153846153846
24,0.026894915746179453,0.7210884353741497
25,0.012806062488680435,0.7066666666666667
26,0.015405787340593153,0.7954545454545454
27,0.013134364302171013,0.7138047138047138
28,0.006154988279368757,0.7066666666666667
29,0.01050640916334545,0.7940074906367042
