rank,feature,importance
188,t08_kp22_x,0.00091954
189,t21_kp10_y,0.00091833
190,t27_kp31_x,0.00091805
191,t11_kp18_x,0.00091574
192,t12_kp13_y,0.00091556
193,t17_kp13_y,0.00091204
194,t19_kp13_y,0.00090810
195,t05_kp22_x,0.00090772
196,t19_kp08_y,0.00090746
197,t13_kp32_x,0.00090667
198,t21_kp29_x,0.00090437
199,t28_kp29_y,0.00090304
200,t10_kp22_x,0.00089984
201,t09_kp15_x,0.00089825
202,t07_kp17_x,0.00089688
203,t20_kp03_y,0.00089418
204,t14_kp28_x,0.00089327
205,t20_kp09_y,0.00089287
206,t23_kp25_y,0.00088545
207,t18_kp27_y,0.00088216
208,t26_kp17_y,0.00087817
209,t03_kp20_x,0.00087680
210,t20_kp13_x,0.00087591
211,t12_kp21_x,0.00087522
212,t26_kp24_y,0.00086180
213,t07_kp11_x,0.00085989
214,t14_kp21_x,0.00085681
215,t13_kp11_x,0.00085162
216,t11_kp11_y,0.00085007
217,t22_kp10_y,0.00084840
218,t20_kp25_y,0.00084654
219,t15_kp11_x,0.00083759
220,t23_kp31_y,0.00083648
221,t02_kp11_x,0.00083328
222,t06_kp20_x,0.00082983
223,t23_kp14_x,0.00082961
224,t04_kp17_x,0.00082950
225,t22_kp13_y,0.00082440
226,t16_kp09_y,0.00082387
227,t12_kp14_x,0.00082200
228,t11_kp31_x,0.00081965
229,t21_kp05_y,0.00081691
230,t27_kp25_x,0.00081479
231,t21_kp06_y,0.00081259
232,t10_kp20_x,0.00081253
233,t17_kp11_x,0.00081056
234,t06_kp13_x,0.00080926
235,t06_kp15_x,0.00080751
236,t16_kp27_y,0.00080656
237,t08_kp13_x,0.00080102
238,t12_kp08_x,0.00079738
239,t07_kp22_x,0.00079195
240,t01_kp01_x,0.00079083
241,t25_kp18_x,0.00078878
242,t01_kp13_x,0.00078613
243,t03_kp17_x,0.00078538
244,t05_kp21_x,0.00078463
245,t27_kp14_x,0.00078249
246,t24_kp13_y,0.00076973
247,t03_kp21_x,0.00076866
248,t04_kp16_x,0.00076459
249,t29_kp23_y,0.00076284
250,t26_kp23_y,0.00076167
251,t21_kp20_x,0.00075944
252,t26_kp14_x,0.00075897
253,t05_kp20_x,0.00075321
254,t01_kp11_x,0.00075202
255,t29_kp29_y,0.00074982
256,t00_kp07_y,0.00074878
257,t29_kp12_y,0.00074819
258,t06_kp17_x,0.00074559
259,t18_kp08_y,0.00074470
260,t19_kp02_y,0.00073925
261,t17_kp25_y,0.00073753
262,t19_kp07_y,0.00073559
263,t22_kp24_y,0.00073456
264,t11_kp10_y,0.00073418
265,t19_kp27_y,0.00073112
266,t16_kp29_y,0.00073007
267,t13_kp31_x,0.00072895
268,t11_kp08_x,0.00072694
269,t15_kp29_y,0.00072648
270,t21_kp00_y,0.00072563
271,t26_kp29_y,0.00072559
272,t02_kp22_x,0.00072345
273,t00_kp16_x,0.00072155
274,t29_kp25_x,0.00072096
275,t17_kp07_y,0.00071803
276,t28_kp25_x,0.00071714
277,t14_kp29_y,0.00071696
278,t22_kp20_x,0.00071120
279,t21_kp13_y,0.00071004
280,t02_kp03_y,0.00070590
281,t27_kp24_y,0.00070281
282,t25_kp07_y,0.00070143
283,t15_kp10_y,0.00069819
284,t01_kp14_x,0.00069584
285,t24_kp18_x,0.00068793
286,t17_kp12_y,0.00068775
287,t16_kp12_y,0.00068715
288,t22_kp11_y,0.00068694
289,t24_kp17_y,0.00068652
290,t18_kp00_y,0.00068615
291,t07_kp11_y,0.00068329
292,t21_kp22_x,0.00068275
293,t27_kp07_y,0.00068262
294,t01_kp14_y,0.00067998
295,t01_kp22_x,0.00067937
296,t04_kp20_x,0.00067702
297,t17_kp09_y,0.00067370
298,t19_kp25_y,0.00067272
299,t10_kp18_x,0.00067205
300,t16_kp10_y,0.00066971
301,t15_kp29_x,0.00066756
302,t03_kp16_x,0.00066329
303,t29_kp14_x,0.00066024
304,t18_kp29_y,0.00065828
305,t10_kp25_y,0.00065077
306,t25_kp11_y,0.00064591
307,t29_kp31_y,0.00064509
308,t08_kp13_y,0.00064393
309,t21_kp08_y,0.00064301
310,t05_kp31_x,0.00063982
311,t16_kp31_y,0.00063506
312,t07_kp14_x,0.00063396
313,t26_kp31_y,0.00063312
314,t00_kp04_y,0.00063308
315,t28_kp01_y,0.00063173
316,t15_kp12_y,0.00062930
317,t11_kp13_y,0.00062853
318,t17_kp20_x,0.00062294
319,t25_kp19_y,0.00062262
320,t18_kp20_x,0.00062145
321,t27_kp20_x,0.00061243
322,t22_kp03_y,0.00060401
323,t19_kp04_y,0.00060339
324,t00_kp14_x,0.00060238
325,t28_kp23_y,0.00059995
326,t08_kp20_x,0.00059980
327,t09_kp31_x,0.00059926
