fold,train_videos,test_videos,train_windows,test_windows,accuracy,precision,recall,f1,roc_auc
1,56,14,7131,1832,0.9623362445414847,0.9916666666666667,0.6363636363636364,0.7752442996742671,0.9793849454675487
2,59,11,7246,1717,0.9801980198019802,0.9534883720930233,0.8631578947368421,0.9060773480662984,0.9890204391135008
3,53,17,7146,1817,0.9124931205283434,0.5243243243243243,0.5773809523809523,0.5495750708215298,0.8956979699096134
4,55,15,7083,1880,0.9367021276595745,0.9803921568627451,0.2976190476190476,0.45662100456621,0.9229719487093905
5,57,13,7246,1717,0.9586488060570763,0.9459459459459459,0.6176470588235294,0.7473309608540926,0.9692592874253774
