epoch,train_loss
1,0.2817189641131295
2,0.11457697279751301
3,0.09806540489196777
4,0.07620986779530843
5,0.0680362515275677
6,0.05809436614107755
7,0.04649792677619391
8,0.0459513583054973
9,0.044657902794165746
10,0.03723339452511734
11,0.04173934262659815
12,0.03014174957656198
13,0.03750839774289893
14,0.024865695788628524
15,0.023656466053281394
16,0.04659988714433792
17,0.025012433222857202
18,0.042547216503363516
19,0.017319866992636688
20,0.020629514689143334
21,0.028718103867334623
22,0.023313884939998388
23,0.029390977628322112
24,0.023602830005499224
25,0.04249720473980738
26,0.021679173630351822
27,0.016048428405128004
28,0.020409832376883263
29,0.0166139668927321
30,0.02087626726185489
