epoch,train_loss,val_f1
1,0.15013390671538376,0.5568627450980392
2,0.07481961265123294,0.5790554414784395
3,0.04011378842248646,0.639821029082774
4,0.0572155023918843,0.630071599045346
5,0.032182469048681016,0.6596858638743456
6,0.03432351266219985,0.6255924170616114
7,0.0314572135475375,0.6426858513189448
8,0.027546327689395602,0.6303317535545023
9,0.022012780745074515,0.5818965517241379
10,0.022243794541593833,0.555984555984556
11,0.02727588995074213,0.6767676767676768
12,0.03422347257434913,0.49477351916376305
13,0.02494199439558518,0.6842105263157895
14,0.01757229186438536,0.6131386861313869
15,0.009218525292075463,0.6415094339622641
16,0.012362133270285578,0.6352941176470588
17,0.03422669943179057,0.6770833333333334
18,0.011690742731165544,0.6884422110552764
19,0.019275649345731165,0.6811594202898551
20,0.024521333495431844,0.6530612244897959
21,0.014471729193217113,0.6036866359447005
22,0.007334856091471717,0.6915422885572139
23,0.017873813915093753,0.6894865525672371
24,0.027167841706386673,0.7091836734693877
25,0.012576610823146796,0.6666666666666666
26,0.045081269203660325,0.6614583333333334
27,0.02598221750175097,0.5789473684210527
28,0.02270618850605693,0.6697892271662763
29,0.03419575787602542,0.5590551181102362
30,0.03665344660158293,0.6940874035989717
31,0.01500066369287147,0.6503667481662592
32,0.011858063410656206,0.6864197530864198
33,0.008571124979317463,0.6370023419203747
34,0.016340096970402524,0.7103274559193955
35,0.008849540109656363,0.6765432098765433
36,0.011299548662950977,0.6882793017456359
37,0.008510175426072877,0.674937965260546
38,0.012107586985089425,0.6573426573426573
39,0.008325463557518906,0.6855670103092784
40,0.005316307513797932,0.675392670157068
41,0.010717538094757091,0.7088607594936709
42,0.012920576117267058,0.6382978723404256
43,0.011658887961871008,0.6820512820512821
44,0.008317418901937556,0.6875
45,0.002728266366807463,0.6789473684210526
46,0.007271029571850838,0.6751269035532995
