epoch,train_loss
1,0.31366717660404186
2,0.1675139227000529
3,0.10771398495542775
4,0.09317308046776802
5,0.0725163013731357
6,0.0799939485983276
7,0.06386224161973302
8,0.0580351963572527
9,0.043857903507655595
10,0.060171373547407654
11,0.03821570296999301
12,0.053439764572963296
13,0.03962602637684741
14,0.03690347030012176
15,0.04467152745046553
16,0.039214908028811876
17,0.05308738318494
18,0.03733018123892167
19,0.031050899038610958
20,0.03208676106883206
21,0.028799246947944553
22,0.0384061897339904
23,0.03260223500663245
24,0.027583774214840866
25,0.02725771316481586
26,0.029537823379014515
27,0.03089593694182866
28,0.03293808516913259
29,0.030276331049125235
30,0.031005543476944616
