accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,fold,train_videos,test_videos
0.9229916897506926,0.519774011299435,0.6301369863013698,0.5696594427244582,0.9558696029131265,1574,85,54,92,1,56,14
0.935682326621924,0.6771653543307087,0.5375,0.5993031358885017,0.9315648034398034,1587,41,74,86,2,56,14
0.9286908077994429,0.5974025974025974,0.9787234042553191,0.7419354838709677,0.9862172145798302,1483,124,4,184,3,56,14
0.9442567567567568,0.7289156626506024,0.6914285714285714,0.7096774193548387,0.9669385205675024,1556,45,54,121,4,56,14
0.9394107837687604,0.8387096774193549,0.6074766355140186,0.7046070460704607,0.9478198060084317,1560,25,84,130,5,56,14
