fold,train_videos,test_videos,train_windows,test_windows,accuracy,precision,recall,f1,roc_auc
1,56,14,7131,1832,0.9868995633187773,0.9880239520958084,0.8823529411764706,0.9322033898305084,0.999185670399688
2,59,11,7246,1717,0.9965055329062318,0.9742268041237113,0.9947368421052631,0.984375,0.9997121979802158
3,53,17,7146,1817,0.9873417721518988,0.9503105590062112,0.9107142857142857,0.9300911854103343,0.9988142164082128
4,55,15,7083,1880,0.926063829787234,0.5551330798479087,0.8690476190476191,0.6774941995359629,0.9653322485536271
5,57,13,7246,1717,0.9598136284216657,0.9809523809523809,0.6058823529411764,0.7490909090909091,0.9932868169892392
