fold,train_videos,test_videos,train_windows,test_windows,accuracy,precision,recall,f1,roc_auc
1,55,15,7810,2056,0.9941634241245136,0.9714285714285714,0.96045197740113,0.9659090909090909,0.999096466145293
2,59,11,7953,1913,0.9979090433873498,0.9804878048780488,1.0,0.9901477832512315,1.0
3,56,14,7987,1879,0.9627461415646621,0.9696969696969697,0.588957055214724,0.732824427480916,0.9940545139931642
4,54,16,7831,2035,0.9941031941031941,0.9731182795698925,0.9627659574468085,0.9679144385026738,0.9995824165697105
5,56,14,7883,1983,0.9949571356530509,0.9880952380952381,0.9540229885057471,0.9707602339181286,0.9996012911178463
