epoch,train_loss,val_f1
1,0.3989304647363465,0.6780210867802109
2,0.23005842848527477,0.5444743935309974
3,0.14858437867913665,0.682279469164715
4,0.12715599640518768,0.654251012145749
5,0.09483840859484398,0.6925515055467512
6,0.06110864246256963,0.6794185156847743
7,0.06895043951284383,0.7004016064257028
8,0.03968909123048928,0.7280334728033473
9,0.029126529259985434,0.7094017094017094
10,0.05191961657612717,0.6902086677367576
11,0.07578844131002652,0.6966864910790145
12,0.052435321445038034,0.6536144578313253
13,0.0323228416630777,0.6742301458670988
14,0.06122244218528499,0.6608
15,0.02777004087793416,0.6763698630136986
16,0.024758509729928213,0.688135593220339
17,0.010986974773307642,0.6568627450980392
18,0.029257907526446258,0.6925734024179621
19,0.06817934252178989,0.6956521739130435
20,0.022507065679999317,0.6837324525185797
