rank,feature,importance
188,t28_kp20_x,0.00111436
189,t23_kp22_x,0.00110892
190,t28_kp18_x,0.00110238
191,t23_kp32_x,0.00110109
192,t15_kp14_y,0.00110089
193,t01_kp19_x,0.00110027
194,t29_kp27_x,0.00109917
195,t26_kp29_x,0.00108860
196,t01_kp29_x,0.00108841
197,t00_kp10_x,0.00108129
198,t23_kp16_x,0.00107963
199,t10_kp16_x,0.00107858
200,t28_kp29_x,0.00107510
201,t01_kp20_y,0.00107393
202,t13_kp14_y,0.00107308
203,t21_kp13_x,0.00107271
204,t04_kp13_y,0.00107258
205,t24_kp32_x,0.00105871
206,t25_kp18_x,0.00105518
207,t03_kp21_x,0.00105490
208,t29_kp22_y,0.00105228
209,t12_kp14_y,0.00104420
210,t07_kp20_x,0.00104140
211,t19_kp15_x,0.00104049
212,t27_kp18_x,0.00104014
213,t00_kp29_x,0.00103716
214,t14_kp14_y,0.00103382
215,t17_kp14_y,0.00103082
216,t27_kp20_x,0.00103037
217,t03_kp19_x,0.00101845
218,t06_kp22_x,0.00101608
219,t03_kp20_x,0.00101168
220,t23_kp15_x,0.00100959
221,t02_kp29_x,0.00100581
222,t26_kp31_x,0.00100418
223,t24_kp15_x,0.00100378
224,t25_kp14_y,0.00100377
225,t18_kp21_x,0.00100074
226,t21_kp21_x,0.00099721
227,t23_kp17_x,0.00099653
228,t14_kp21_x,0.00099618
229,t09_kp17_x,0.00099379
230,t23_kp13_y,0.00099260
231,t19_kp28_x,0.00099121
232,t29_kp26_x,0.00098885
233,t10_kp19_x,0.00098747
234,t22_kp16_x,0.00098449
235,t01_kp21_y,0.00098438
236,t07_kp19_x,0.00098236
237,t15_kp22_x,0.00098006
238,t25_kp20_x,0.00097788
239,t24_kp13_y,0.00096805
240,t15_kp20_x,0.00096658
241,t03_kp13_y,0.00096452
242,t15_kp17_x,0.00096258
243,t08_kp20_x,0.00096050
244,t02_kp16_x,0.00095934
245,t00_kp15_y,0.00095839
246,t00_kp12_y,0.00095414
247,t20_kp29_x,0.00094898
248,t20_kp11_x,0.00094881
249,t27_kp29_x,0.00094807
250,t05_kp16_y,0.00093448
251,t01_kp30_x,0.00093358
252,t04_kp16_x,0.00093193
253,t04_kp20_x,0.00093179
254,t01_kp12_y,0.00092075
255,t28_kp27_x,0.00091821
256,t01_kp26_y,0.00091486
257,t22_kp13_y,0.00091414
258,t09_kp21_x,0.00090680
259,t04_kp30_x,0.00090093
260,t22_kp20_x,0.00089566
261,t26_kp21_x,0.00089560
