seed,fold,best_epoch,val_threshold,val_accuracy,best_val_accuracy,best_val_precision,best_val_recall,best_val_f1,best_val_roc_auc,best_val_tn,best_val_fp,best_val_fn,best_val_tp,train_seconds,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
42,1,27,0.9809139370918274,1.0,1.0,1.0,1.0,1.0,1.0,78,0,0,9,49.27518432401121,0.9724770642201835,1.0,0.7,0.8235294117647058,0.8848484848484849,99,0,3,7
42,2,24,0.9978671073913574,1.0,1.0,1.0,1.0,1.0,1.0,80,0,0,6,44.718104514991865,0.9907407407407407,1.0,0.9,0.9473684210526315,1.0,98,0,1,9
42,3,42,0.9992905855178833,1.0,1.0,1.0,1.0,1.0,1.0,78,0,0,9,66.85466988704866,0.9722222222222222,1.0,0.6666666666666666,0.8,0.9955106621773289,99,0,3,6
42,4,8,0.17034348845481873,0.9885057471264368,0.9885057471264368,1.0,0.9090909090909091,0.9523809523809523,0.9473684210526315,76,0,1,10,24.839889518974815,0.9814814814814815,0.8461538461538461,1.0,0.9166666666666666,1.0,95,2,0,11
42,5,26,0.9996606111526489,0.9770114942528736,0.9770114942528736,1.0,0.7777777777777778,0.875,0.9914529914529914,78,0,2,7,47.5254856509855,0.9814814814814815,1.0,0.8181818181818182,0.9,0.9925023430178069,97,0,2,9
