fold,train_videos,test_videos,train_windows,test_windows,accuracy,precision,recall,f1,roc_auc
1,53,14,394,100,1.0,1.0,1.0,1.0,1.0
2,55,12,393,101,0.9900990099009901,1.0,0.875,0.9333333333333333,1.0
3,54,13,398,96,0.9895833333333334,1.0,0.8571428571428571,0.9230769230769231,0.9951845906902087
4,53,14,397,97,0.9896907216494846,0.875,1.0,0.9333333333333333,1.0
5,53,14,394,100,0.99,1.0,0.875,0.9333333333333333,1.0
