rank,feature,importance
188,t21_kp05_y,0.00149936
189,t56_kp15_y,0.00149804
190,t56_kp02_y,0.00148208
191,t58_kp24_y,0.00147697
192,t49_kp15_y,0.00147427
193,t14_kp04_y,0.00146715
194,t53_kp18_y,0.00146553
195,t44_kp13_y,0.00146545
196,t55_kp00_y,0.00145793
197,t55_kp09_y,0.00144946
198,t58_kp13_y,0.00143899
199,t58_kp09_y,0.00141092
200,t44_kp16_y,0.00139064
201,t19_kp08_y,0.00138841
202,t45_kp20_y,0.00135994
203,t52_kp11_y,0.00135528
204,t51_kp22_y,0.00134967
205,t45_kp19_y,0.00134910
206,t18_kp00_y,0.00134187
207,t44_kp15_y,0.00133335
208,t45_kp18_y,0.00133023
209,t53_kp16_y,0.00131245
210,t59_kp22_y,0.00130869
211,t53_kp22_y,0.00130730
212,t49_kp09_y,0.00130575
213,t47_kp06_y,0.00129822
214,t48_kp11_y,0.00129795
215,t45_kp21_y,0.00129468
216,t52_kp22_y,0.00129343
217,t57_kp22_y,0.00129087
218,t44_kp22_y,0.00128844
219,t46_kp19_y,0.00128464
220,t40_kp17_y,0.00128015
221,t14_kp11_y,0.00127949
222,t49_kp11_y,0.00127638
223,t49_kp22_y,0.00127589
224,t53_kp07_y,0.00127446
225,t50_kp18_y,0.00127389
226,t45_kp11_y,0.00126964
227,t08_kp17_y,0.00126281
228,t56_kp06_y,0.00126135
229,t42_kp19_y,0.00126046
230,t58_kp10_y,0.00125548
231,t59_kp04_y,0.00125270
232,t56_kp01_y,0.00124971
233,t46_kp11_y,0.00124791
234,t52_kp18_y,0.00124689
235,t53_kp15_y,0.00124504
236,t44_kp17_y,0.00123578
237,t22_kp07_y,0.00123569
238,t41_kp13_y,0.00123537
239,t53_kp02_y,0.00123379
240,t53_kp09_y,0.00122945
241,t56_kp10_y,0.00122214
242,t48_kp23_y,0.00121981
243,t46_kp22_y,0.00121121
244,t20_kp02_y,0.00120857
245,t59_kp00_y,0.00120588
246,t46_kp16_y,0.00120433
247,t54_kp01_y,0.00120191
248,t58_kp16_y,0.00119753
249,t41_kp17_y,0.00119675
250,t54_kp20_y,0.00118428
251,t59_kp20_y,0.00117995
252,t58_kp02_y,0.00117660
253,t54_kp04_y,0.00117442
254,t58_kp07_y,0.00117327
255,t56_kp18_y,0.00117304
256,t57_kp00_y,0.00117194
257,t53_kp20_y,0.00116736
258,t42_kp13_y,0.00116653
259,t47_kp18_y,0.00116158
260,t13_kp00_y,0.00116120
261,t10_kp01_y,0.00115953
262,t20_kp12_y,0.00115815
263,t42_kp15_y,0.00115534
264,t39_kp21_y,0.00115528
265,t56_kp05_y,0.00115155
266,t58_kp18_y,0.00114722
267,t11_kp06_y,0.00114429
268,t15_kp20_y,0.00114422
269,t06_kp04_y,0.00114357
270,t21_kp00_y,0.00113753
271,t43_kp15_y,0.00113550
272,t16_kp01_y,0.00113091
273,t14_kp00_y,0.00112641
274,t57_kp06_y,0.00111486
275,t05_kp04_y,0.00111285
276,t47_kp21_y,0.00111225
277,t59_kp03_y,0.00110999
278,t14_kp10_y,0.00110970
279,t57_kp12_y,0.00110781
280,t46_kp07_y,0.00110369
281,t51_kp03_y,0.00110327
282,t10_kp10_y,0.00109668
283,t12_kp11_y,0.00109116
284,t11_kp10_y,0.00108847
285,t05_kp00_y,0.00108695
286,t11_kp02_y,0.00108589
287,t55_kp20_y,0.00108243
288,t07_kp06_y,0.00107762
289,t21_kp12_y,0.00107749
290,t57_kp07_x,0.00107672
291,t22_kp10_y,0.00107629
292,t02_kp04_y,0.00107556
293,t20_kp06_y,0.00107520
294,t04_kp05_y,0.00107107
295,t22_kp03_y,0.00107022
296,t26_kp04_y,0.00106792
297,t54_kp22_y,0.00106299
298,t19_kp10_y,0.00106075
299,t03_kp03_y,0.00106036
300,t13_kp04_y,0.00105948
301,t06_kp07_y,0.00105500
302,t16_kp12_y,0.00104378
303,t15_kp07_y,0.00103775
304,t52_kp19_y,0.00103686
305,t18_kp08_y,0.00103522
306,t10_kp04_y,0.00103263
307,t22_kp06_y,0.00103114
308,t17_kp09_y,0.00102581
309,t05_kp07_y,0.00102300
310,t10_kp02_y,0.00102184
311,t20_kp10_y,0.00102085
312,t17_kp12_y,0.00101759
313,t19_kp16_y,0.00101089
314,t13_kp01_y,0.00099950
315,t11_kp01_y,0.00099547
316,t18_kp06_y,0.00099502
317,t13_kp08_y,0.00098601
318,t17_kp11_y,0.00098055
319,t10_kp00_y,0.00096809
320,t15_kp10_y,0.00094965
321,t03_kp08_y,0.00094893
322,t10_kp06_y,0.00092802
323,t19_kp06_y,0.00092352
324,t47_kp21_x,0.00091244
325,t05_kp05_y,0.00090998
326,t49_kp19_x,0.00090631
327,t22_kp04_y,0.00088232
328,t07_kp10_y,0.00087428
329,t55_kp14_y,0.00085654
330,t20_kp04_y,0.00085414
331,t17_kp00_y,0.00083409
332,t50_kp19_x,0.00082181
333,t18_kp10_y,0.00077718
334,t21_kp01_y,0.00075385
335,t47_kp12_x,0.00070132
336,t53_kp21_x,0.00070007
337,t07_kp07_y,0.00068458
338,t07_kp01_y,0.00068043
339,t20_kp01_y,0.00066578
340,t55_kp22_x,0.00066046
341,t12_kp08_y,0.00065975
342,t12_kp06_y,0.00064367
343,t15_kp00_y,0.00063777
344,t13_kp28_x,0.00062715
345,t19_kp18_y,0.00062510
