epoch,train_loss
1,0.2650161443438085
2,0.12273623085215392
3,0.08645161198207499
4,0.08120014158627342
5,0.07155047783080755
6,0.04587476890760955
7,0.05642810571082985
8,0.043578007183695214
9,0.040332818541581786
10,0.036124413065336446
11,0.047757586665764594
12,0.03326429699867501
13,0.050128460294114885
14,0.04237239053693728
15,0.029572159023029437
16,0.026925211874030675
17,0.03561394652753403
18,0.03421564053187686
19,0.028121599078363355
20,0.024172726560036873
21,0.02852234700876786
22,0.021385413544755438
23,0.03601160902241169
24,0.02635482260798502
25,0.019983798291198968
26,0.015188519971881998
27,0.024655519652610067
28,0.015076594610366985
29,0.028710793205780356
30,0.020889972945030262
