epoch,train_loss
1,0.13430825121135317
2,0.038888579062976145
3,0.021558311755403077
4,0.023865974582024916
5,0.027371703145036008
6,0.023927782160171773
7,0.021794341385819798
8,0.015787625747699558
9,0.011887407847098075
10,0.011395291875097817
11,0.01144331508047409
12,0.0198490974593629
13,0.012300321738751206
14,0.009061018015537619
15,0.008134151498000262
16,0.008117620365997677
17,0.014314651939197834
18,0.01341516817696434
19,0.013800427670763124
20,0.010661810862984566
21,0.008328186396738602
22,0.008722456708710524
23,0.00501999981211806
24,0.00931473534443025
25,0.007819445630567705
26,0.007034022180895201
27,0.0079944397561381
28,0.009350257975581502
29,0.00897364134412523
30,0.007436423650168373
