accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,fold,train_videos,test_videos,train_windows,test_windows,best_epoch,val_f1
0.900831024930748,0.43373493975903615,0.7397260273972602,0.5468354430379747,0.9371382331326844,1518,141,38,108,1,56,14,7158,1805,7,0.867816091954023
0.924496644295302,0.5925925925925926,0.5,0.5423728813559322,0.8855228808353809,1573,55,80,80,2,56,14,7175,1788,17,0.8060836501901141
0.9649025069637883,0.8238341968911918,0.8457446808510638,0.8346456692913385,0.9242807398482702,1573,34,29,159,3,56,14,7168,1795,14,0.7943661971830986
0.9222972972972973,0.6033519553072626,0.6171428571428571,0.6101694915254238,0.7559739448558936,1530,71,67,108,4,56,14,7187,1776,33,0.9613733905579399
0.9271817676486938,0.6602316602316602,0.7990654205607477,0.7230443974630021,0.9275538783572629,1497,88,43,171,5,56,14,7164,1799,6,0.519298245614035
