accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,fold,train_videos,test_videos
0.910803324099723,0.4750830564784053,0.9794520547945206,0.639821029082774,0.941264749353877,1501,158,3,143,1,56,14
0.982662192393736,0.8909090909090909,0.91875,0.9046153846153846,0.9921107186732187,1610,18,13,147,2,56,14
0.958217270194986,0.714828897338403,1.0,0.8337028824833703,0.9822187504137484,1532,75,0,188,3,56,14
0.9532657657657657,0.7,0.92,0.7950617283950617,0.9766396002498439,1532,69,14,161,4,56,14
0.9861033907726515,1.0,0.883177570093458,0.9379652605459057,0.9984580913352398,1585,0,25,189,5,56,14
