epoch,train_loss
1,0.38075825471697483
2,0.2914906141216257
3,0.27963534114571476
4,0.2545642045758884
5,0.2477118744401243
6,0.22044612983500306
7,0.20274701430285963
8,0.21227275863352532
9,0.18212972591836188
10,0.21131525336546617
11,0.17301037487525592
12,0.1534441039906645
13,0.19726527683948902
14,0.15052447696889099
15,0.15004821056905
16,0.14958376484448913
17,0.15467742495082037
18,0.12591199326063773
19,0.10181741497961368
20,0.11515295258912599
21,0.12385318812040343
22,0.107583254025818
23,0.10452114998625506
24,0.11652082583388944
25,0.09826480630696405
26,0.09108755936085927
27,0.08379093598872214
28,0.08582917169300737
