epoch,train_loss,val_f1,learning_rate
1,0.6589205997834112,0.4309133489461358,0.001
2,0.5264750503340675,0.14882506527415143,0.001
3,0.27102852246855963,0.48552338530066813,0.001
4,0.18437000385665267,0.4954545454545455,0.001
5,0.13422469196275774,0.5022026431718062,0.001
6,0.1621748903044011,0.509090909090909,0.001
7,0.19675084405599175,0.14882506527415143,0.001
8,0.7403561595118962,0.0,0.001
9,0.3868829593337487,0.7193675889328063,0.001
10,0.28305013815784064,0.5505050505050505,0.001
11,0.4281723137225256,0.4579831932773109,0.001
12,0.46945818221368624,0.47912087912087914,0.001
13,0.20205668310789285,0.4708860759493671,0.001
14,0.28913773546047983,0.5393258426966292,0.0005
15,0.11397186724763202,0.5860215053763441,0.0005
16,0.11928569739866884,0.5863013698630137,0.0005
17,0.12649595830161728,0.5480225988700564,0.0005
18,0.17683530166961672,0.5240384615384616,0.0005
19,0.10437043230547341,0.576271186440678,0.00025
20,0.07927185651153833,0.5891891891891892,0.00025
21,0.0986438962825619,0.5465116279069767,0.00025
