epoch,train_loss,val_f1,learning_rate
1,0.8101233570926989,0.18836915297092288,0.001
2,0.7156221299834137,0.0,0.001
3,0.7147571388456889,0.18836915297092288,0.001
4,0.7116626840524664,0.0,0.001
5,0.7122367909460356,0.0,0.001
6,0.7157119031942335,0.0,0.0005
7,0.7027967171941389,0.0,0.0005
8,0.7006449054774819,0.18836915297092288,0.0005
9,0.7109632882993838,0.0,0.0005
10,0.6983891149424211,0.18836915297092288,0.0005
11,0.7047507424090474,0.0,0.00025
12,0.7017078429138731,0.0,0.00025
13,0.6991850638464326,0.18836915297092288,0.00025
14,0.6978175744741314,0.18836915297092288,0.00025
15,0.697154985616864,0.18836915297092288,0.00025
16,0.6963230850845212,0.0,0.000125
17,0.695777108323819,0.18836915297092288,0.000125
18,0.6988064695716694,0.0,0.000125
19,0.6953319542834004,0.0,0.000125
20,0.6958288542902955,0.0,0.000125
21,0.6946766635176613,0.0,6.25e-05
22,0.6953028919637847,0.0,6.25e-05
23,0.6964237882010574,0.0,6.25e-05
24,0.6944381469677069,0.0,6.25e-05
25,0.6954260250700761,0.0,6.25e-05
26,0.6956616962923484,0.0,3.125e-05
27,0.6933744548505626,0.0,3.125e-05
28,0.692712103830568,0.0,3.125e-05
29,0.6977482869914914,0.18836915297092288,3.125e-05
