epoch,train_loss,val_f1,learning_rate
1,0.5847411544082842,0.42105263157894735,0.001
2,0.3587313416423879,0.6828087167070218,0.001
3,0.6899197267641216,0.22235948116121063,0.001
4,0.6414498738602499,0.5246478873239436,0.001
5,0.3086454047023116,0.8261964735516373,0.001
6,0.3417437758188136,0.4665523156089194,0.001
7,0.3320387474039001,0.7404063205417607,0.001
8,0.33493618691445104,0.4940119760479042,0.001
9,0.34994678071581853,0.4383561643835616,0.001
10,0.4366547997178031,0.689119170984456,0.0005
11,0.4122439105591031,0.5540540540540541,0.0005
12,0.2417171181345885,0.6264150943396226,0.0005
13,0.2009029170216368,0.730593607305936,0.0005
14,0.1704449882416445,0.7990430622009569,0.0005
15,0.15480104350168072,0.680327868852459,0.00025
16,0.11901705633529631,0.6762886597938145,0.00025
17,0.10828833129859422,0.6732283464566929,0.00025
