epoch,train_loss,val_f1,learning_rate
1,0.5813987802656636,0.683982683982684,0.001
2,0.4826141757600605,0.9380530973451328,0.001
3,0.4517018254976955,0.42574257425742573,0.001
4,0.4019264513613633,0.7954545454545454,0.001
5,0.702818002389825,0.0,0.001
6,0.4419674442827618,0.9190751445086706,0.001
7,0.4325031471787462,0.4411764705882353,0.0005
8,0.502734377959333,0.5459459459459459,0.0005
9,0.32854971347107625,0.8763250883392226,0.0005
10,0.28332989573802636,0.9260450160771704,0.0005
11,0.2901107982574305,0.728,0.0005
12,0.3096831302990586,0.717741935483871,0.00025
13,0.2877324558663878,0.8907563025210085,0.00025
14,0.2606008744799907,0.9164265129682997,0.00025
