fold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
1,0.9285714285714286,0.8571428571428571,1.0,0.9230769230769231,0.9166666666666666,7,1,0,6
2,0.7857142857142857,0.6666666666666666,1.0,0.8,1.0,5,3,0,6
3,0.7857142857142857,1.0,0.5,0.6666666666666666,0.8125,8,0,3,3
4,0.9285714285714286,1.0,0.8333333333333334,0.9090909090909091,1.0,8,0,1,5
5,0.7857142857142857,0.8,0.6666666666666666,0.7272727272727273,0.8958333333333334,7,1,2,4
