epoch,train_loss
1,0.917220616115714
2,0.4419446478849687
3,0.295742687939098
4,0.20124799106855812
5,0.21391614390619146
6,0.13050991493575978
7,0.12390978629671552
8,0.10281740007160595
9,0.03185508465804394
10,0.057394269549246854
11,0.030622701904496306
12,0.03490661423208204
13,0.059569312886293954
14,0.03879812758111354
15,0.04784161264791428
16,0.047690644344818664
17,0.13806374586603176
18,0.10079371529695748
19,0.055463823413698925
20,0.017889215077900287
21,0.010816764180202904
22,0.02159701721192156
23,0.01936502027788065
24,0.040294535762671405
25,0.02993103325273256
26,0.01702569963398782
27,0.009978266374307609
28,0.007834769638969839
29,0.011145046979493502
30,0.012742933562412014
31,0.018447546554881636
32,0.01040473959918292
33,0.03437258157097155
34,0.007236271308817016
35,0.08458297563798772
36,0.22094897970369776
37,0.05808043065217306
38,0.036238368483459425
39,0.037870799525166456
40,0.02777328014186343
41,0.029245501911302783
42,0.012600211684340201
43,0.024675759669897036
44,0.023681803995965974
45,0.016732143929357048
46,0.020924653937020955
