epoch,train_loss
1,0.3859602352556926
2,0.27973160670704544
3,0.313031845287127
4,0.35032361403875967
5,0.34040140953429876
6,0.3439795631988376
7,0.34836091103694594
8,0.3686007418620387
9,0.34776555758156286
10,0.30561967025986886
11,0.2749255090497418
12,0.2526199366907264
13,0.21914830456862752
14,0.2374931110781118
15,0.2192484650303682
16,0.19145755087350333
17,0.18389136746211943
18,0.17142950947782198
19,0.16456663458493337
20,0.1925168339189217
21,0.2297222434435535
22,0.21908660136799898
23,0.2672590835854552
24,0.21444059485270653
25,0.28992545122068347
26,0.4100001931796493
27,0.4220129160435487
28,0.4258640650051092
29,0.48982106850067025
30,0.48402122625843486
