epoch,train_loss,val_f1
1,0.12456332933077209,0.9580246913580247
2,0.03960554571913333,0.9603960396039604
3,0.034499264970931066,0.9349397590361446
4,0.01914288913737131,0.9627791563275434
5,0.03657799211154639,0.9624060150375939
6,0.018492033055597854,0.9724310776942355
7,0.013888674432800062,0.9603960396039604
8,0.015298252990765537,0.9672544080604534
9,0.05058503603899623,0.9797979797979798
10,0.02483012298324995,0.9580246913580247
11,0.009243562589322518,0.9696969696969697
12,0.012961709205794434,0.9651741293532339
13,0.009780163781805934,0.9795918367346939
14,0.011776072860553701,0.9769820971867008
15,0.014849514354150769,0.9794871794871794
16,0.009006751044196836,0.96
17,0.013597007706295277,0.9556650246305419
18,0.00966228278299586,0.9796954314720813
19,0.0077184321284598815,0.9722921914357683
20,0.006276493596003277,0.9797979797979798
21,0.005002045783188706,0.9870801033591732
22,0.011733868855702573,0.9580246913580247
23,0.007002301332619192,0.9846938775510204
24,0.015459827250599956,0.9576059850374065
25,0.010117185787690008,0.9533169533169533
26,0.01726157062311944,0.97
27,0.015551644658185279,0.9627791563275434
28,0.012034017201285802,0.9744897959183674
29,0.009858697223121075,0.9897959183673469
30,0.014475464010429042,0.9672544080604534
31,0.005433163516866896,0.9794871794871794
32,0.00885805694973035,0.9675810473815462
33,0.008657133529347643,0.9698492462311558
34,0.004094245077704706,0.9769820971867008
35,0.013639291026032205,0.9748743718592965
36,0.007041485015271703,0.9820971867007673
37,0.004304775572752825,0.9846153846153847
38,0.007907956413202594,0.9794871794871794
39,0.006315374202734921,0.9690721649484536
40,0.0042380700610242066,0.987012987012987
41,0.011550526944731639,0.9795918367346939
