epoch,train_loss,val_threshold,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_tn,val_fp,val_fn,val_tp,learning_rate
1,0.4590460498725748,0.6609625220298767,0.9195402298850575,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.9216524216524217,72,6,1,8,0.001
2,0.1806605610824217,0.2512790858745575,0.8850574712643678,0.4666666666666667,0.7777777777777778,0.5833333333333334,0.9031339031339032,70,8,2,7,0.001
3,0.19945890219569895,0.5903568267822266,0.9540229885057471,0.7272727272727273,0.8888888888888888,0.8,0.9472934472934472,75,3,1,8,0.001
4,0.08067743295556032,0.9420302510261536,0.9540229885057471,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.98005698005698,76,2,2,7,0.001
5,0.03456191554923967,0.5688709616661072,0.9655172413793104,0.8,0.8888888888888888,0.8421052631578947,0.972934472934473,76,2,1,8,0.001
6,0.013324417276146439,0.9901427030563354,0.9540229885057471,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.9814814814814815,76,2,2,7,0.001
7,0.0028593501068027204,0.976738691329956,0.9540229885057471,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.9814814814814815,76,2,2,7,0.001
8,0.00432796266792622,0.043094929307699203,0.9655172413793104,0.8,0.8888888888888888,0.8421052631578947,0.9871794871794872,76,2,1,8,0.001
9,0.0009180314992312235,0.11859367787837982,0.9655172413793104,0.8,0.8888888888888888,0.8421052631578947,0.9871794871794872,76,2,1,8,0.001
10,0.002509740902638504,0.1222132220864296,0.9655172413793104,0.8,0.8888888888888888,0.8421052631578947,0.9886039886039886,76,2,1,8,0.0005
11,0.0010773607467791076,0.9991865754127502,0.9770114942528736,1.0,0.7777777777777778,0.875,0.9928774928774929,78,0,2,7,0.0005
12,0.0006114492047177035,0.9996192455291748,0.9770114942528736,1.0,0.7777777777777778,0.875,0.9928774928774928,78,0,2,7,0.0005
13,0.0004911040342170638,0.9997088313102722,0.9770114942528736,1.0,0.7777777777777778,0.875,0.9900284900284901,78,0,2,7,0.0005
14,0.000539526542530239,0.9997041821479797,0.9770114942528736,1.0,0.7777777777777778,0.875,0.99002849002849,78,0,2,7,0.0005
15,0.00044074666557155246,0.9996840953826904,0.9770114942528736,1.0,0.7777777777777778,0.875,0.9900284900284901,78,0,2,7,0.0005
16,0.00043476578332699104,0.9996635913848877,0.9770114942528736,1.0,0.7777777777777778,0.875,0.9900284900284901,78,0,2,7,0.00025
17,0.0004006933879828608,0.9996558427810669,0.9770114942528736,1.0,0.7777777777777778,0.875,0.9900284900284901,78,0,2,7,0.00025
18,0.0003615917849577856,0.9996721744537354,0.9770114942528736,1.0,0.7777777777777778,0.875,0.9914529914529915,78,0,2,7,0.00025
19,0.00040299090643607164,0.9996813535690308,0.9770114942528736,1.0,0.7777777777777778,0.875,0.9928774928774928,78,0,2,7,0.00025
20,0.00042673056431093143,0.9996908903121948,0.9770114942528736,1.0,0.7777777777777778,0.875,0.9914529914529914,78,0,2,7,0.00025
21,0.0003614555603576921,0.9996892213821411,0.9770114942528736,1.0,0.7777777777777778,0.875,0.9914529914529914,78,0,2,7,0.000125
22,0.00033194140407978156,0.9996846914291382,0.9770114942528736,1.0,0.7777777777777778,0.875,0.9914529914529914,78,0,2,7,0.000125
23,0.00037378397069715306,0.9996792078018188,0.9770114942528736,1.0,0.7777777777777778,0.875,0.9914529914529914,78,0,2,7,0.000125
24,0.000427651674637431,0.9996687173843384,0.9770114942528736,1.0,0.7777777777777778,0.875,0.9914529914529914,78,0,2,7,0.000125
25,0.0003583166409133142,0.9996670484542847,0.9770114942528736,1.0,0.7777777777777778,0.875,0.9914529914529914,78,0,2,7,0.000125
26,0.0002880338195851342,0.9996606111526489,0.9770114942528736,1.0,0.7777777777777778,0.875,0.9914529914529914,78,0,2,7,6.25e-05
27,0.00033597120977507504,0.9996581077575684,0.9770114942528736,1.0,0.7777777777777778,0.875,0.9914529914529914,78,0,2,7,6.25e-05
28,0.00034196634953195565,0.9996567964553833,0.9770114942528736,1.0,0.7777777777777778,0.875,0.9914529914529914,78,0,2,7,6.25e-05
29,0.00033811981200289,0.9996563196182251,0.9770114942528736,1.0,0.7777777777777778,0.875,0.9914529914529914,78,0,2,7,6.25e-05
30,0.00037601650837200526,0.9996529817581177,0.9770114942528736,1.0,0.7777777777777778,0.875,0.9914529914529914,78,0,2,7,6.25e-05
31,0.0004106918455847146,0.9996507167816162,0.9770114942528736,1.0,0.7777777777777778,0.875,0.9914529914529914,78,0,2,7,3.125e-05
32,0.00032518129503742035,0.9996504783630371,0.9770114942528736,1.0,0.7777777777777778,0.875,0.9914529914529914,78,0,2,7,3.125e-05
33,0.0003516981736528068,0.9996507167816162,0.9770114942528736,1.0,0.7777777777777778,0.875,0.9914529914529914,78,0,2,7,3.125e-05
34,0.00038517441269484044,0.9996505975723267,0.9770114942528736,1.0,0.7777777777777778,0.875,0.9914529914529914,78,0,2,7,3.125e-05
35,0.0003498413973835141,0.999650239944458,0.9770114942528736,1.0,0.7777777777777778,0.875,0.9914529914529914,78,0,2,7,3.125e-05
36,0.00034548243325381307,0.9996507167816162,0.9770114942528736,1.0,0.7777777777777778,0.875,0.9914529914529914,78,0,2,7,1.5625e-05
37,0.00033294468520228033,0.9996501207351685,0.9770114942528736,1.0,0.7777777777777778,0.875,0.9914529914529914,78,0,2,7,1.5625e-05
38,0.0003617917048049057,0.9996505975723267,0.9770114942528736,1.0,0.7777777777777778,0.875,0.9914529914529914,78,0,2,7,1.5625e-05
