epoch,train_loss,val_threshold,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_tn,val_fp,val_fn,val_tp,learning_rate
1,0.4962284931040913,0.7522045969963074,0.9310344827586207,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.9544159544159544,73,5,1,8,0.001
2,0.28787987450988306,0.9581042528152466,0.9195402298850575,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.9458689458689459,73,5,2,7,0.001
3,0.15920456946757489,0.833672285079956,0.9080459770114943,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.9444444444444444,72,6,2,7,0.001
4,0.2086026665103229,0.9775287508964539,0.9195402298850575,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.9558404558404558,73,5,2,7,0.001
5,0.0940101994363042,0.9917885661125183,0.9425287356321839,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.9715099715099715,74,4,1,8,0.001
6,0.049911530171601756,0.5831770896911621,0.9425287356321839,0.7,0.7777777777777778,0.7368421052631579,0.9715099715099715,75,3,2,7,0.001
7,0.035071018375348664,0.9973848462104797,1.0,1.0,1.0,1.0,1.0,78,0,0,9,0.001
8,0.02939013475713702,0.9948701858520508,1.0,1.0,1.0,1.0,1.0,78,0,0,9,0.001
9,0.015086670056243852,0.9962586164474487,0.9770114942528736,1.0,0.7777777777777778,0.875,0.9957264957264957,78,0,2,7,0.001
10,0.015860148207580596,0.9994064569473267,0.9770114942528736,1.0,0.7777777777777778,0.875,0.9957264957264957,78,0,2,7,0.001
11,0.012140189539075889,0.998314380645752,0.9885057471264368,0.9,1.0,0.9473684210526315,0.9971509971509972,77,1,0,9,0.001
12,0.010673924219374669,0.9972668886184692,0.9885057471264368,0.9,1.0,0.9473684210526315,0.9971509971509972,77,1,0,9,0.0005
13,0.010051572695374489,0.996515154838562,0.9885057471264368,0.9,1.0,0.9473684210526315,0.9971509971509972,77,1,0,9,0.0005
14,0.009486248193852432,0.9983273148536682,0.9885057471264368,1.0,0.8888888888888888,0.9411764705882353,0.9985754985754987,78,0,1,8,0.0005
15,0.01461488914587185,0.9965434670448303,1.0,1.0,1.0,1.0,1.0,78,0,0,9,0.0005
16,0.013858819229668275,0.9973222613334656,1.0,1.0,1.0,1.0,1.0,78,0,0,9,0.0005
17,0.006863557829823065,0.9982342720031738,1.0,1.0,1.0,1.0,1.0,78,0,0,9,0.00025
18,0.006075433797251455,0.9985185265541077,1.0,1.0,1.0,1.0,1.0,78,0,0,9,0.00025
19,0.003410391109481432,0.9987199306488037,1.0,1.0,1.0,1.0,1.0,78,0,0,9,0.00025
20,0.0024191346409800597,0.9988337159156799,1.0,1.0,1.0,1.0,1.0,78,0,0,9,0.00025
21,0.0020205655338436453,0.99891197681427,1.0,1.0,1.0,1.0,1.0,78,0,0,9,0.00025
22,0.0023066667379606836,0.9989750385284424,1.0,1.0,1.0,1.0,1.0,78,0,0,9,0.000125
23,0.0015737759649236767,0.9990214109420776,1.0,1.0,1.0,1.0,1.0,78,0,0,9,0.000125
24,0.0015438944262834643,0.9990597367286682,1.0,1.0,1.0,1.0,1.0,78,0,0,9,0.000125
25,0.0013476436102434434,0.9991004467010498,1.0,1.0,1.0,1.0,1.0,78,0,0,9,0.000125
26,0.0018191331932913362,0.9991443157196045,1.0,1.0,1.0,1.0,1.0,78,0,0,9,0.000125
27,0.0015324138662094154,0.9991840720176697,1.0,1.0,1.0,1.0,1.0,78,0,0,9,6.25e-05
28,0.0012240278510366044,0.9991979002952576,1.0,1.0,1.0,1.0,1.0,78,0,0,9,6.25e-05
29,0.0010712959008248298,0.9992089867591858,1.0,1.0,1.0,1.0,1.0,78,0,0,9,6.25e-05
30,0.0012979710167085462,0.999219536781311,1.0,1.0,1.0,1.0,1.0,78,0,0,9,6.25e-05
31,0.0012230601362248808,0.9992320537567139,1.0,1.0,1.0,1.0,1.0,78,0,0,9,6.25e-05
32,0.000981366794456787,0.9992432594299316,1.0,1.0,1.0,1.0,1.0,78,0,0,9,3.125e-05
33,0.0009801998967304826,0.9992496371269226,1.0,1.0,1.0,1.0,1.0,78,0,0,9,3.125e-05
34,0.001320240103957281,0.9992567896842957,1.0,1.0,1.0,1.0,1.0,78,0,0,9,3.125e-05
35,0.0012215720435787487,0.9992648959159851,1.0,1.0,1.0,1.0,1.0,78,0,0,9,3.125e-05
36,0.000973441507505802,0.9992724061012268,1.0,1.0,1.0,1.0,1.0,78,0,0,9,3.125e-05
37,0.0009817172676618237,0.999278724193573,1.0,1.0,1.0,1.0,1.0,78,0,0,9,1.5625e-05
38,0.0009061106816445601,0.9992814660072327,1.0,1.0,1.0,1.0,1.0,78,0,0,9,1.5625e-05
39,0.0010457707638313963,0.9992839694023132,1.0,1.0,1.0,1.0,1.0,78,0,0,9,1.5625e-05
40,0.0010154507347689458,0.9992865920066833,1.0,1.0,1.0,1.0,1.0,78,0,0,9,1.5625e-05
41,0.0012340899980815417,0.9992889165878296,1.0,1.0,1.0,1.0,1.0,78,0,0,9,1.5625e-05
42,0.0008114860928079081,0.9992905855178833,1.0,1.0,1.0,1.0,1.0,78,0,0,9,7.8125e-06
43,0.0009307441459107347,0.9992914199829102,1.0,1.0,1.0,1.0,1.0,78,0,0,9,7.8125e-06
44,0.000826156385259089,0.9992924928665161,1.0,1.0,1.0,1.0,1.0,78,0,0,9,7.8125e-06
45,0.0010248389652919433,0.9992939233779907,1.0,1.0,1.0,1.0,1.0,78,0,0,9,7.8125e-06
46,0.0010324868452977498,0.9992952346801758,1.0,1.0,1.0,1.0,1.0,78,0,0,9,7.8125e-06
47,0.0009346855454405264,0.9992966651916504,1.0,1.0,1.0,1.0,1.0,78,0,0,9,3.90625e-06
48,0.0011449656314674141,0.9992971420288086,1.0,1.0,1.0,1.0,1.0,78,0,0,9,3.90625e-06
49,0.0010026765636012302,0.9992973804473877,1.0,1.0,1.0,1.0,1.0,78,0,0,9,3.90625e-06
50,0.0010231321901648246,0.9992979764938354,1.0,1.0,1.0,1.0,1.0,78,0,0,9,3.90625e-06
51,0.0011013052110005752,0.9992986917495728,1.0,1.0,1.0,1.0,1.0,78,0,0,9,3.90625e-06
52,0.0009298585318271178,0.9992994070053101,1.0,1.0,1.0,1.0,1.0,78,0,0,9,1.953125e-06
53,0.0010020988081538825,0.9992998838424683,1.0,1.0,1.0,1.0,1.0,78,0,0,9,1.953125e-06
54,0.0009485413757761176,0.9993003606796265,1.0,1.0,1.0,1.0,1.0,78,0,0,9,1.953125e-06
