epoch,train_loss,val_threshold,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_tn,val_fp,val_fn,val_tp,learning_rate
1,0.5322779700460626,0.7460997104644775,0.9883720930232558,1.0,0.8333333333333334,0.9090909090909091,0.9979166666666667,80,0,1,5,0.001
2,0.3343144421618679,0.9971582889556885,1.0,1.0,1.0,1.0,1.0,80,0,0,6,0.001
3,0.2829788981236367,0.9925286769866943,1.0,1.0,1.0,1.0,1.0,80,0,0,6,0.001
4,0.18204673463398166,0.9641805291175842,1.0,1.0,1.0,1.0,1.0,80,0,0,6,0.001
5,0.10994145902201147,0.9899383783340454,1.0,1.0,1.0,1.0,1.0,80,0,0,6,0.001
6,0.06473060933502675,0.9945717453956604,1.0,1.0,1.0,1.0,1.0,80,0,0,6,0.001
7,0.029033664044969706,0.9620203971862793,1.0,1.0,1.0,1.0,1.0,80,0,0,6,0.0005
8,0.02483052265178144,0.9904991984367371,1.0,1.0,1.0,1.0,1.0,80,0,0,6,0.0005
9,0.013652668186927735,0.9976730942726135,1.0,1.0,1.0,1.0,1.0,80,0,0,6,0.0005
10,0.01539218938246541,0.996679425239563,1.0,1.0,1.0,1.0,1.0,80,0,0,6,0.0005
11,0.0059267419862751485,0.9922953844070435,1.0,1.0,1.0,1.0,1.0,80,0,0,6,0.0005
12,0.006526498204521212,0.9915055632591248,1.0,1.0,1.0,1.0,1.0,80,0,0,6,0.00025
13,0.0041490169403060025,0.9946767091751099,1.0,1.0,1.0,1.0,1.0,80,0,0,6,0.00025
14,0.0032122162565245407,0.9963167905807495,1.0,1.0,1.0,1.0,1.0,80,0,0,6,0.00025
15,0.0027811158950352016,0.9975168704986572,1.0,1.0,1.0,1.0,1.0,80,0,0,6,0.00025
16,0.002478016756799727,0.9979230761528015,1.0,1.0,1.0,1.0,1.0,80,0,0,6,0.00025
17,0.002344418828535331,0.9982250332832336,1.0,1.0,1.0,1.0,1.0,80,0,0,6,0.000125
18,0.002168628400572782,0.9982215762138367,1.0,1.0,1.0,1.0,1.0,80,0,0,6,0.000125
19,0.0017946673887956255,0.9983042478561401,1.0,1.0,1.0,1.0,1.0,80,0,0,6,0.000125
20,0.0021416626995434764,0.9982884526252747,1.0,1.0,1.0,1.0,1.0,80,0,0,6,0.000125
21,0.0016951967441404415,0.9981745481491089,1.0,1.0,1.0,1.0,1.0,80,0,0,6,0.000125
22,0.0016337117852551878,0.9979479908943176,1.0,1.0,1.0,1.0,1.0,80,0,0,6,6.25e-05
23,0.001692341604526356,0.9979161620140076,1.0,1.0,1.0,1.0,1.0,80,0,0,6,6.25e-05
24,0.0013431472628664559,0.9978671073913574,1.0,1.0,1.0,1.0,1.0,80,0,0,6,6.25e-05
25,0.001482277103801733,0.9978813529014587,1.0,1.0,1.0,1.0,1.0,80,0,0,6,6.25e-05
26,0.0014989391349723043,0.9979093670845032,1.0,1.0,1.0,1.0,1.0,80,0,0,6,6.25e-05
27,0.0013959160777780439,0.997922956943512,1.0,1.0,1.0,1.0,1.0,80,0,0,6,3.125e-05
28,0.0016305468646374663,0.9979350566864014,1.0,1.0,1.0,1.0,1.0,80,0,0,6,3.125e-05
29,0.0014006336251815904,0.9979448914527893,1.0,1.0,1.0,1.0,1.0,80,0,0,6,3.125e-05
30,0.0014352611677388336,0.9979313611984253,1.0,1.0,1.0,1.0,1.0,80,0,0,6,3.125e-05
31,0.0015722949370494924,0.9979124665260315,1.0,1.0,1.0,1.0,1.0,80,0,0,6,3.125e-05
32,0.0014493004472588085,0.9978961944580078,1.0,1.0,1.0,1.0,1.0,80,0,0,6,1.5625e-05
33,0.001376641917267884,0.9979023933410645,1.0,1.0,1.0,1.0,1.0,80,0,0,6,1.5625e-05
34,0.0013488873239520733,0.9979078769683838,1.0,1.0,1.0,1.0,1.0,80,0,0,6,1.5625e-05
35,0.001522765562987701,0.9979159235954285,1.0,1.0,1.0,1.0,1.0,80,0,0,6,1.5625e-05
36,0.0014472023220947522,0.9979234933853149,1.0,1.0,1.0,1.0,1.0,80,0,0,6,1.5625e-05
