fold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
1,0.8571428571428571,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9583333333333334,7,1,1,5
2,1.0,1.0,1.0,1.0,1.0,8,0,0,6
3,0.7142857142857143,1.0,0.3333333333333333,0.5,0.7916666666666666,8,0,4,2
4,0.8571428571428571,1.0,0.6666666666666666,0.8,1.0,8,0,2,4
5,0.7857142857142857,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.8958333333333333,6,2,1,5
