epoch,train_loss
1,0.5061193439024914
2,0.20539667959077448
3,0.13734112936484663
4,0.10823797153521188
5,0.08759268457187883
6,0.06315794183483607
7,0.06338147604012791
8,0.1067445746139635
9,0.03928124187160519
10,0.045401528562548796
11,0.03796551542450922
12,0.01907767995814734
13,0.03243978983616527
14,0.03912726894162501
15,0.028401225034288966
16,0.12187828995122374
17,0.011125283902864668
18,0.012881802125020495
19,0.011592407607697423
20,0.005244803980370111
21,0.005351045895132083
22,0.007846911630852596
23,0.002118045102681116
24,0.0031134023130694522
25,0.0071768357054495455
26,0.06233888771797566
27,0.04465812096619814
28,0.04093919117239457
29,0.012285146532179434
30,0.018286362982390426
