epoch,train_loss
1,0.2473074009504217
2,0.1539541027522986
3,0.14555134104720277
4,0.14285853450373465
5,0.12589528334796024
6,0.10402798018470329
7,0.10908310004044841
8,0.10428437423542243
9,0.1029990128812842
10,0.0970890216167049
11,0.09460056883544225
12,0.1071466434869131
13,0.09571911281297235
14,0.06793504817071702
15,0.06296950342532252
16,0.06421305621997332
17,0.0587028605566485
18,0.06620778999439328
19,0.08435815640717967
20,0.07303550450077304
21,0.06882516360676022
22,0.07390391916442593
23,0.08267174178931219
24,0.061546429201580544
25,0.06503244410018909
26,0.05008850163936086
27,0.04979310545031174
28,0.05873309924904465
29,0.048310068598502155
30,0.056428604916684624
31,0.06067832539372327
32,0.0561541701899657
