epoch,train_loss,val_f1
1,0.3392417686137929,0.8151658767772512
2,0.1715778499019238,0.8421052631578947
3,0.10258695835089339,0.8043990573448547
4,0.10085284000473471,0.8156862745098039
5,0.05519855935545748,0.7891373801916933
6,0.07666598204842422,0.818394388152767
7,0.04362668804035531,0.823076923076923
8,0.020670770277016137,0.8399390243902439
9,0.011467192515974214,0.8113207547169812
10,0.0454546164182072,0.7612061939690301
11,0.040854974485684134,0.8072383949645948
12,0.013556996823501545,0.795869737887212
13,0.006730398220083018,0.8165495706479313
14,0.009924311938914736,0.8618618618618619
15,0.007512489584225552,0.84779299847793
16,0.021748698820136872,0.7993655828707376
17,0.03214670402593198,0.7514644351464436
18,0.042002733668961886,0.8343465045592705
19,0.03420954777711804,0.7913669064748201
20,0.02946228150661245,0.8526077097505669
21,0.017920566925818764,0.8100470957613815
22,0.004231361253312196,0.8040912667191188
23,0.010504315610397682,0.8069620253164557
24,0.020617037351283413,0.8022064617809299
25,0.0029043919782785837,0.8087431693989071
26,0.0017298178582938366,0.8523845571536715
