epoch,train_loss,val_f1
1,0.30167020019949,0.6095017381228274
2,0.18351063529507228,0.6991260923845194
3,0.13747585876187263,0.711168164313222
4,0.09371854527517938,0.7854137447405329
5,0.08981712685323585,0.7792207792207793
6,0.05910740108886782,0.8119079837618404
7,0.03494437111968373,0.8287292817679558
8,0.06283306132368636,0.8027586206896552
9,0.05828991085183552,0.7871148459383753
10,0.03324827722673672,0.863905325443787
11,0.027550428529385402,0.8036529680365296
12,0.03628036677998407,0.8097826086956522
13,0.03447620826303658,0.8450704225352113
14,0.010809426868243158,0.8847352024922118
15,0.020243238778992874,0.8415147265077139
16,0.025066196223350528,0.8321167883211679
17,0.014369445780301547,0.8597842835130971
18,0.004814833363884475,0.8744460856720827
19,0.013822516130541132,0.8770864946889226
20,0.0050453887320132335,0.9022082018927445
21,0.03396855303544621,0.8982035928143712
22,0.013122096956004348,0.8364153627311522
23,0.030190304964237313,0.823045267489712
24,0.010756210992662961,0.9077155824508321
25,0.037687162825106695,0.8340425531914893
26,0.029129961713872075,0.8393632416787264
27,0.012678027613224698,0.8485714285714285
28,0.011024967800679561,0.8583690987124464
29,0.0078006125424209555,0.8902077151335311
30,0.005611639452458397,0.8995502248875562
31,0.02572153340800335,0.7464387464387464
32,0.014758462931589097,0.8398268398268398
33,0.020351874815187382,0.8498583569405099
34,0.015561634518623135,0.8501440922190202
35,0.026302367360740417,0.8377997179125529
36,0.006042552746812912,0.9063444108761329
